건물용도코드,읍면동코드,지상층수,고시일자,도로구간시군구코드,도로명코드,시군구코드,지하층수
8004,105,8,2017-09-20,11500,3155046,11500,2
90002,103,0,2019-07-17,11500,3115001,11500,0
90002,103,0,2019-07-17,11500,3115001,11500,0
90002,106,0,2019-07-17,11500,3115001,11500,0
90002,106,0,2019-07-17,11500,3115001,11500,0
90002,106,0,2019-07-17,11500,2005007,11500,0
90002,106,0,2019-07-17,11500,3115001,11500,0
90002,108,0,2019-07-17,11500,2005007,11500,0
90002,103,0,2019-07-17,11500,4145449,11500,0
1002,109,4,2020-09-02,11500,4145487,11500,1
16999,107,2,2020-09-02,11500,2115001,11500,0
16006,107,2,2020-09-02,11500,2115001,11500,0
16006,107,2,2020-09-02,11500,2115001,11500,0
2003,103,5,2021-09-15,11500,3115009,11500,0
2003,103,6,2016-11-16,11500,4145163,11500,0
2003,103,6,2016-11-16,11500,4145289,11500,1
1002,108,4,2018-11-21,11500,4145380,11500,0
3001,108,2,2018-11-21,11500,4145348,11500,0
3001,105,8,2019-07-10,11500,2005007,11500,3
3999,105,10,2019-07-10,11500,3155052,11500,5
8004,105,8,2020-08-19,11500,3155056,11500,3
2003,103,6,2022-07-06,11500,4145022,11500,1
1003,103,4,2018-12-26,11500,4145497,11500,0
1002,108,4,2018-12-26,11500,3115006,11500,0
10204,108,1,2018-12-26,11500,4145490,11500,0
2001,106,12,2022-12-28,11500,4145184,11500,3
2003,103,7,2022-01-19,11500,3115011,11500,0
8203,102,3,2016-07-06,11500,4145303,11500,0
3012,103,1,2018-04-18,11500,3115009,11500,0
3012,109,1,2018-04-18,11500,3115002,11500,0
2003,103,5,2020-02-26,11500,4145256,11500,0
1003,103,4,2015-11-04,11500,4145044,11500,1
8203,103,3,2015-11-04,11500,4145259,11500,0
2003,103,6,2015-11-04,11500,4145190,11500,0
2003,103,7,2015-11-04,11500,3115011,11500,0
2003,103,6,2015-11-04,11500,4145148,11500,0
