fid,BASE_DATE,ADM_DR_CD,ADM_DR_NM,OBJECTID,fid_2,DN,area
1,"20210630","1116051",염창동,"241",77255,"3","100"
1,"20210630","1116051",염창동,"241",77291,"25","200"
1,"20210630","1116051",염창동,"241",77292,"16","100"
1,"20210630","1116051",염창동,"241",77293,"5","100"
1,"20210630","1116051",염창동,"241",77294,"1","100"
1,"20210630","1116051",염창동,"241",77327,"12","100"
1,"20210630","1116051",염창동,"241",77328,"21","100"
1,"20210630","1116051",염창동,"241",77329,"22","100"
1,"20210630","1116051",염창동,"241",77330,"13","100"
1,"20210630","1116051",염창동,"241",77331,"7","100"
1,"20210630","1116051",염창동,"241",77332,"2","100"
1,"20210630","1116051",염창동,"241",77366,"7","100"
1,"20210630","1116051",염창동,"241",77367,"13","200"
1,"20210630","1116051",염창동,"241",77368,"18","100"
1,"20210630","1116051",염창동,"241",77369,"19","100"
1,"20210630","1116051",염창동,"241",77370,"12","100"
1,"20210630","1116051",염창동,"241",77371,"3","100"
1,"20210630","1116051",염창동,"241",77422,"4","100"
1,"20210630","1116051",염창동,"241",77423,"9","100"
1,"20210630","1116051",염창동,"241",77424,"7","100"
1,"20210630","1116051",염창동,"241",77425,"5","100"
1,"20210630","1116051",염창동,"241",77426,"14","100"
1,"20210630","1116051",염창동,"241",77427,"23","100"
1,"20210630","1116051",염창동,"241",77428,"24","100"
1,"20210630","1116051",염창동,"241",77429,"17","100"
1,"20210630","1116051",염창동,"241",77430,"7","100"
1,"20210630","1116051",염창동,"241",77431,"1","100"
1,"20210630","1116051",염창동,"241",77472,"2","300"
1,"20210630","1116051",염창동,"241",77473,"6","200"
1,"20210630","1116051",염창동,"241",77474,"7","200"
1,"20210630","1116051",염창동,"241",77475,"8","100"
1,"20210630","1116051",염창동,"241",77476,"12","100"
1,"20210630","1116051",염창동,"241",77477,"22","100"
1,"20210630","1116051",염창동,"241",77478,"26","100"
1,"20210630","1116051",염창동,"241",77479,"19","100"
1,"20210630","1116051",염창동,"241",77480,"8","100"
1,"20210630","1116051",염창동,"241",77481,"2","100"
1,"20210630","1116051",염창동,"241",77523,"5","200"
1,"20210630","1116051",염창동,"241",77524,"5","100"
1,"20210630","1116051",염창동,"241",77525,"2","100"
1,"20210630","1116051",염창동,"241",77526,"6","200"
1,"20210630","1116051",염창동,"241",77527,"19","100"
1,"20210630","1116051",염창동,"241",77528,"21","100"
1,"20210630","1116051",염창동,"241",77529,"14","100"
1,"20210630","1116051",염창동,"241",77530,"9","100"
1,"20210630","1116051",염창동,"241",77531,"3","100"
1,"20210630","1116051",염창동,"241",77564,"5","100"
1,"20210630","1116051",염창동,"241",77565,"3","100"
1,"20210630","1116051",염창동,"241",77566,"4","400"
1,"20210630","1116051",염창동,"241",77567,"5","100"
1,"20210630","1116051",염창동,"241",77568,"2","100"
1,"20210630","1116051",염창동,"241",77569,"1","100"
1,"20210630","1116051",염창동,"241",77570,"15","100"
1,"20210630","1116051",염창동,"241",77571,"13","100"
1,"20210630","1116051",염창동,"241",77572,"11","100"
1,"20210630","1116051",염창동,"241",77573,"14","100"
1,"20210630","1116051",염창동,"241",77574,"10","100"
1,"20210630","1116051",염창동,"241",77575,"4","100"
1,"20210630","1116051",염창동,"241",77576,"1","100"
1,"20210630","1116051",염창동,"241",77604,"7","1699"
1,"20210630","1116051",염창동,"241",77605,"5","100"
1,"20210630","1116051",염창동,"241",77606,"2","100"
1,"20210630","1116051",염창동,"241",77607,"1","100"
1,"20210630","1116051",염창동,"241",77608,"2","200"
1,"20210630","1116051",염창동,"241",77609,"3","100"
1,"20210630","1116051",염창동,"241",77610,"8","100"
1,"20210630","1116051",염창동,"241",77611,"15","100"
1,"20210630","1116051",염창동,"241",77612,"14","100"
1,"20210630","1116051",염창동,"241",77613,"5","100"
1,"20210630","1116051",염창동,"241",77614,"3","100"
1,"20210630","1116051",염창동,"241",77615,"10","100"
1,"20210630","1116051",염창동,"241",77616,"14","100"
1,"20210630","1116051",염창동,"241",77617,"11","100"
1,"20210630","1116051",염창동,"241",77618,"6","100"
1,"20210630","1116051",염창동,"241",77619,"2","100"
1,"20210630","1116051",염창동,"241",77641,"6","100"
1,"20210630","1116051",염창동,"241",77642,"4","100"
1,"20210630","1116051",염창동,"241",77643,"3","100"
1,"20210630","1116051",염창동,"241",77644,"5","100"
1,"20210630","1116051",염창동,"241",77645,"9","100"
1,"20210630","1116051",염창동,"241",77646,"14","100"
1,"20210630","1116051",염창동,"241",77647,"12","100"
1,"20210630","1116051",염창동,"241",77648,"4","100"
1,"20210630","1116051",염창동,"241",77649,"2","100"
1,"20210630","1116051",염창동,"241",77650,"8","100"
1,"20210630","1116051",염창동,"241",77651,"13","100"
1,"20210630","1116051",염창동,"241",77652,"12","200"
1,"20210630","1116051",염창동,"241",77653,"8","100"
1,"20210630","1116051",염창동,"241",77654,"3","100"
1,"20210630","1116051",염창동,"241",77670,"9","100"
1,"20210630","1116051",염창동,"241",77671,"12","100"
1,"20210630","1116051",염창동,"241",77672,"10","100"
1,"20210630","1116051",염창동,"241",77673,"3","100"
1,"20210630","1116051",염창동,"241",77674,"2","100"
1,"20210630","1116051",염창동,"241",77675,"6","100"
1,"20210630","1116051",염창동,"241",77676,"13","100"
1,"20210630","1116051",염창동,"241",77677,"9","100"
1,"20210630","1116051",염창동,"241",77678,"4","100"
1,"20210630","1116051",염창동,"241",77679,"1","100"
1,"20210630","1116051",염창동,"241",77692,"8","100"
1,"20210630","1116051",염창동,"241",77693,"10","100"
1,"20210630","1116051",염창동,"241",77694,"8","100"
1,"20210630","1116051",염창동,"241",77695,"3","100"
1,"20210630","1116051",염창동,"241",77696,"1","100"
1,"20210630","1116051",염창동,"241",77697,"4","100"
1,"20210630","1116051",염창동,"241",77698,"10","100"
1,"20210630","1116051",염창동,"241",77699,"13","100"
1,"20210630","1116051",염창동,"241",77700,"11","100"
1,"20210630","1116051",염창동,"241",77701,"6","100"
1,"20210630","1116051",염창동,"241",77702,"2","100"
1,"20210630","1116051",염창동,"241",77738,"7","100"
1,"20210630","1116051",염창동,"241",77739,"6","100"
1,"20210630","1116051",염창동,"241",77740,"2","100"
1,"20210630","1116051",염창동,"241",77741,"3","100"
1,"20210630","1116051",염창동,"241",77742,"8","100"
1,"20210630","1116051",염창동,"241",77743,"13","200"
1,"20210630","1116051",염창동,"241",77744,"8","100"
1,"20210630","1116051",염창동,"241",77745,"3","100"
1,"20210630","1116051",염창동,"241",77760,"2","100"
1,"20210630","1116051",염창동,"241",77761,"9","100"
