PARK_SN,DN
1,1.0
2,1.0
3,0.5
4,1.83
5,0.5
6,0.0
8,1.91
9,1.0
10,3.09
11,1.0
12,1.5
13,1.41
14,2.77
15,1.0
16,0.0
17,0.0
18,0.0
20,1.29
21,5.64
22,2.98
23,0.0
24,3.23
25,9.2
26,7.03
27,11.67
28,1.29
29,0.5
30,2.96
31,4.7
32,6.28
33,1.22
34,11.52
35,5.36
36,0.0
37,3.66
38,0.5
39,0.0
40,0.5
41,5.88
42,0.0
45,7.42
46,2.0
47,6.04
49,2.41
50,0.5
51,1.0
53,0.0
54,0.0
56,0.0
57,3.35
58,3.22
59,2.65
60,0.5
61,1.5
62,2.13
63,1.33
64,5.54
65,6.4
66,7.82
67,0.0
68,7.95
69,9.23
70,2.61
71,6.01
72,3.8
73,4.78
74,2.76
75,2.91
76,2.0
77,1.83
78,5.42
79,3.81
80,2.37
81,8.74
82,6.68
84,0.0
85,0.0
87,1.25
88,11.97
91,1.0
95,1.86
96,0.0
97,5.04
99,1.33
101,3.96
102,2.0
104,4.46
105,0.0
108,15.02
109,0.0
113,5.81
116,2.0
117,11.62
119,2.82
120,14.04
121,0.5
122,0.0
124,0.5
127,8.89
131,1.17
132,1.25
133,2.0
134,0.0
135,0.0
137,0.0
138,0.5
