"교육청명","교육지원청명","유치원코드","유치원명","설립유형","대표자명","원장명","설립일","개원일","주소","전화번호","홈페이지","운영시간","만3세학급수","만4세학급수","만5세학급수","혼합학급수","특수학급수","만3세유아수","만4세유아수","만5세유아수","혼합유아수","특수유아수","공시차수"
"서울특별시교육청","강서양천교육지원청","1ecec08c-ed82-b044-e053-0a32095ab044","서울공항초등학교병설유치원","공립(병설)","천종만","천종만","19920120","19920120","서울특별시 강서구 마곡서1로 68","02-2661-4560","http://www.konghang.es.kr","07시30분~19시30분","1","2","1","0","1","15","33","21","0","3","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-eec6-b044-e053-0a32095ab044","한나유치원","사립(사인)","정애선 임진열","김옥수","19950104","19950104","서울특별시 강서구 금낭화로 287-19","02-2666-1004","","07시00분~20시00분","1","1","2","0","","10","22","45","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-eec7-b044-e053-0a32095ab044","화곡유치원","사립(법인)","김영","김영","19990120","19990120","서울특별시 강서구 까치산로 60","02-2697-3104","","08시00분~18시00분","","1","1","0","","","14","5","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-ef9c-b044-e053-0a32095ab044","선미유치원","사립(법인)","정순택","소은영","19730129","19730313","서울특별시 강서구 까치산로2길 43","02-2606-3341","https://cafe.naver.com/sunmikinder3341","08시00분~18시00분","2","1","2","0","","35","26","46","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-f199-b044-e053-0a32095ab044","서울공진초등학교병설유치원","공립(병설)","고관희","고관희","20040301","20040301","서울특별시 강서구 마곡서로 33","02-2223-2391","http://kongjin.sen.es.kr","07시00분~20시00분","1","1","1","0","","16","22","24","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-f1fa-b044-e053-0a32095ab044","보라유치원","사립(사인)","위성순","위성순","19950727","19950727","서울특별시 강서구 공항대로39길 100","02-2658-1154","http://www.borakid.com","07시30분~19시30분","2","1","2","0","","26","22","43","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-f1fb-b044-e053-0a32095ab044","서강유치원","사립(사인)","김재영","최필승","19820405","19830404","서울특별시 강서구 금낭화로 35","02-2664-7428","http://cafe.naver.com/seokangkids","09시00분~18시30분","1","2","2","0","","22","42","38","0","","20191"
"서울특별시교육청","강서양천교육지원청","1ecec08c-f33b-b044-e053-0a32095ab044","신세기유치원","사립(사인)","이연정","이연정","20011102","20011102","서울특별시 강서구 허준로 47","02-2659-1257","","07시30분~19시30분","1","2","2","0","","18","42","42","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-f3d7-b044-e053-0a32095ab044","서울정곡초등학교병설유치원","공립(병설)","한숙경","한숙경","19940901","19940901","서울특별시 강서구 방화대로50길 22","02-2666-3130","http://www.jk.es.kr","07시00분~19시00분","1","1","1","0","","5","17","14","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-f3d8-b044-e053-0a32095ab044","신영유치원","사립(사인)","이정란","김화미","19830801","19830801","서울특별시 강서구 곰달래로25길 4","02-2692-2729","","07시30분~19시30분","2","2","2","0","","20","41","44","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-f446-b044-e053-0a32095ab044","강서유치원","사립(사인)","박향순","한아름","19821006","19821006","서울특별시 강서구 까치산로 116","02-2602-5225","https://kangseo.kidswon.com","07시30분~19시30분","1","2","3","0","","6","39","45","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-f447-b044-e053-0a32095ab044","대유유치원","사립(법인)","김동균","김은희","19870227","19870227","서울특별시 강서구 곰달래로57길 39","02-2644-0393","http://www.daeyoo1.com","09시30분~20시00분","1","2","1","0","","16","37","22","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-f44b-b044-e053-0a32095ab044","문성유치원","사립(사인)","최완영","최완영","19800310","19800310","서울특별시 강서구 우현로 8","02-2604-5543","http://www.mschild.net","09시00분~17시00분","1","2","3","0","","13","32","44","0","","20192"
"서울특별시교육청","강서양천교육지원청","1ecec08c-f563-b044-e053-0a32095ab044","우람유치원","사립(사인)","권미경","황현정","20090817","20090817","서울특별시 강서구 방화대로45길 32","02-2667-0645","","07시00분~22시00분","2","3","3","0","","56","69","68","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-f7b7-b044-e053-0a32095ab044","우일유치원","사립(사인)","이충우","이근호","19870811","19870811","서울특별시 강서구 곰달래로47길 88","02-2602-4026","","09시00분~18시30분","2","2","2","0","","26","29","26","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-f7f7-b044-e053-0a32095ab044","우리곰유치원","사립(사인)","최계숙","최계숙","19930311","20080110","서울특별시 강서구 허준로 23","02-2659-3323","","08시00분~18시30분","2","1","1","0","","24","23","21","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-f8f5-b044-e053-0a32095ab044","공항제일유치원","사립(사인)","고승현","강온유","19970501","19970501","서울특별시 강서구 개화동로23길 100","02-2662-3744","","07시00분~20시00분","","","","2","","","","","25","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-f8f7-b044-e053-0a32095ab044","등현유치원","사립(사인)","권영숙","권영숙","19960208","19960208","서울특별시 강서구 화곡로63가길 63","02-3662-2205","","07시00분~20시00분","2","3","2","0","","44","63","45","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-fa09-b044-e053-0a32095ab044","유니유치원","사립(사인)","최경호","김숙희","19940113","19940113","서울특별시 강서구 허준로 175","02-2659-5216","","07시00분~20시00분","2","2","2","0","","40","50","52","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-fad9-b044-e053-0a32095ab044","방화이화유치원","사립(사인)","나병삼","최중희","19830401","19830401","서울특별시 강서구 양천로17길 4-55","02-2662-2017","","07시00분~22시00분","1","1","2","0","","9","18","27","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-fbfb-b044-e053-0a32095ab044","예지유치원","사립(사인)","한연옥","송우경","19940205","19940205","서울특별시 강서구 남부순환로11가길 89","02-2661-5969","","09시30분~18시00분","1","1","1","0","","13","20","27","0","","20182"
"서울특별시교육청","강서양천교육지원청","1ecec08c-fbfc-b044-e053-0a32095ab044","진일유치원","사립(사인)"," 신창숙","정은숙","19931001","19931001","서울특별시 강서구 허준로 121","02-2659-4747","","09시00분~19시30분","","","2","0","","","","29","0","","20212"
"서울특별시교육청","강서양천교육지원청","1ecec08c-fc58-b044-e053-0a32095ab044","예은유치원","사립(사인)","송숙현","송숙현","20110425","20110425","서울특별시 강서구 까치산로4길 101-5","02-2698-4096","http://yeaeun.kidis.co.kr/index.php","09시00분~18시00분","","","","0","","","","","0","","20192"
"서울특별시교육청","강서양천교육지원청","1ecec08c-fcd8-b044-e053-0a32095ab044","수미유치원","사립(사인)","송영운","임용예정","19860901","19860901","서울특별시 강서구 강서로17길 130","02-2697-3355","","09시00분~17시00분","","","","1","","","","","5","","20182"
"서울특별시교육청","강서양천교육지원청","1ecec08c-fd31-b044-e053-0a32095ab044","서울염경초등학교병설유치원","공립(병설)","권용경","권용경","20060301","20060301","서울특별시 강서구 양천로69길 49","02-3662-1910","http://www.yeomkyoung.es.kr","07시00분~19시00분","1","1","1","0","","16","22","24","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-fdb8-b044-e053-0a32095ab044","등촌이화유치원","사립(사인)","김성우","유정","20110404","20110404","서울특별시 강서구 화곡로63가길 26","02-2658-3123","http://www.ewkinder.co.kr","07시30분~19시30분","","","1","1","","","","8","9","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-feae-b044-e053-0a32095ab044","서울월정초등학교병설유치원","공립(병설)","박미란","박미란","20130725","20130905","서울특별시 강서구 월정로 176","02-2694-5013","http://woljung.sen.es.kr/","07시00분~20시00분","2","1","1","0","1","25","20","22","0","3","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-ff1b-b044-e053-0a32095ab044","미래유치원","사립(사인)","이희영, 황의원","이희영","19940301","19940301","서울특별시 강서구 양천로6길 28","02-2662-1160","http://www.미래유치원.com","07시00분~19시00분","1","1","1","0","","22","23","15","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08c-ff1d-b044-e053-0a32095ab044","서울내발산초등학교병설유치원","공립(병설)","김진성","김진성","19950411","19950411","서울특별시 강서구 강서로46길 23","02-3662-7670","http://www.nbs.es.kr","07시00분~19시00분","1","1","1","0","","16","20","24","0","","20222"
"서울특별시교육청","강서양천교육지원청","1ecec08d-018e-b044-e053-0a32095ab044","대붕유치원","사립(사인)","정용우","정웅기","19931117","19931117","서울특별시 강서구 허준로 176","02-3663-1636","http://www.daebung.co.kr","07시30분~20시00분","1","1","1","0","","9","12","14","0","","20222"
