동별(3),2016,2017,2018,2019,2020,2021,2022
가양1동,27547,32636,33556,34154,34540,34395,34359
가양2동,16432,16246,15763,15140,14588,14109,13902
가양3동,17289,16771,16516,16199,15583,15138,14678
공항동,24660,28554,28646,28261,27627,31483,30927
등촌1동,23067,23531,23558,23717,24338,24436,24991
등촌2동,22072,22255,22118,21868,21216,20423,19855
등촌3동,34962,34205,33279,32506,31660,30714,30025
발산1동,39921,39414,38879,38507,37530,36572,36236
방화1동,46284,46694,46357,45668,44550,43181,42851
방화2동,25035,24731,24391,24051,23442,23656,23371
방화3동,25779,25417,24912,24467,23577,22924,22544
염창동,41116,40900,41016,42579,42017,41764,41628
우장산동,46886,46813,46405,44808,43987,43129,42883
화곡1동,54425,54795,54687,54562,53380,52770,52647
화곡2동,20465,20413,20041,19487,18727,18096,17785
화곡3동,23190,22903,22730,22710,21938,21661,21603
화곡4동,23317,23141,22694,22044,21413,20820,20514
화곡6동,25797,25099,24840,25118,25133,25096,25303
화곡8동,27232,27097,26833,26509,25674,24789,24415
화곡본동,36628,36640,36390,35918,34981,34612,34121
합계,602104,608255,603611,598273,585901,579768,574638
