행정동,행정동별_공공시설개수,행정동별_노인복지시설개수,행정동별_치안시설개수,행정동별_영유아시설개수,행정동별_운동시설개수,행정동별_의료시설개수,행정동별 공원 갯수,PARK_SN,공원명,면적,공공시설_개수,노인및사회복지시설_개수,문화및집회시설_개수,영유아시설_개수,운동시설_개수,의료시설_개수,의원_개수,제1종근린생활시설_개수,제2종근린생활시설_개수,주거_개수,주차장_개수,치안안전시설_개수,판매및영업시설_개수,학군_개수,화장실_개수,행정동 인구 (명),행정동 면적 (㎢),행정동 인구밀도 (명/㎢),행정동 고령인구수,행정동 고령인구비율,행정동 고령인구밀도
가양1동,21,41,39,41,8,13,7,1,,1510,3,5,8,5,1,2,1,67,75,367,0,7,10,42,7,34359,4.7,7310,3106,0.09,660.85
가양1동,21,41,39,41,8,13,7,14,아름공원,1955,3,5,6,5,1,2,1,67,74,426,0,7,12,47,7,34359,4.7,7310,3106,0.09,660.85
가양1동,21,41,39,41,8,13,7,85,가양어린이공원,1499,3,6,13,6,1,1,1,69,83,372,0,7,10,42,7,34359,4.7,7310,3106,0.09,660.85
가양1동,21,41,39,41,8,13,7,96,문화공원,3751,5,7,10,7,4,3,1,104,129,489,0,9,17,66,7,34359,4.7,7310,3106,0.09,660.85
가양1동,21,41,39,41,8,13,7,121,,1510,2,6,15,6,0,1,1,68,97,689,2,1,7,24,2,34359,4.7,7310,3106,0.09,660.85
가양1동,21,41,39,41,8,13,7,124,소공원,991,3,9,7,9,0,3,5,133,177,1200,2,1,9,32,2,34359,4.7,7310,3106,0.09,660.85
가양1동,21,41,39,41,8,13,7,137,나들이공원,1499,2,3,13,3,1,1,1,57,72,294,0,7,10,38,6,34359,4.7,7310,3106,0.09,660.85
가양2동,18,15,22,15,11,10,3,2,엄지공원,1510,6,5,2,5,3,2,1,51,33,327,0,7,4,87,4,13902,1.0,13902,4083,0.29,4083.0
가양2동,18,15,22,15,11,10,3,3,,1561,6,5,12,5,4,5,0,83,88,482,0,8,10,89,5,13902,1.0,13902,4083,0.29,4083.0
가양2동,18,15,22,15,11,10,3,138,,1499,6,5,11,5,4,3,1,77,77,449,0,7,5,84,4,13902,1.0,13902,4083,0.29,4083.0
가양3동,13,10,19,10,7,15,3,4,,1499,3,3,1,3,2,5,1,99,97,546,1,5,10,71,3,14678,0.5,29356,3633,0.25,7266.0
가양3동,13,10,19,10,7,15,3,5,,1611,6,5,6,5,2,5,1,94,101,610,1,8,11,79,3,14678,0.5,29356,3633,0.25,7266.0
가양3동,13,10,19,10,7,15,3,79,,1622,4,2,1,2,3,5,1,148,143,830,1,6,13,78,3,14678,0.5,29356,3633,0.25,7266.0
공항동,6,49,15,49,1,29,4,6,활주로공원,2115,1,10,1,10,0,2,2,144,122,1490,2,3,49,19,2,30927,10.87,2845,4180,0.14,384.54
공항동,6,49,15,49,1,29,4,23,다솔공원,2491,2,11,2,11,0,2,2,140,109,1459,2,4,45,20,2,30927,10.87,2845,4180,0.14,384.54
공항동,6,49,15,49,1,29,4,56,,1661,1,12,3,12,0,11,5,233,215,2145,1,4,56,19,2,30927,10.87,2845,4180,0.14,384.54
공항동,6,49,15,49,1,29,4,99,송정공원,406,2,16,6,16,1,14,6,308,330,3249,3,4,39,34,2,30927,10.87,2845,4180,0.14,384.54
등촌1동,43,64,52,62,20,41,5,21,매화근린공원,1979,5,8,4,7,5,8,3,186,242,1378,2,7,13,89,3,24991,0.64,39048,2764,0.11,4318.75
등촌1동,43,64,52,62,20,41,5,22,등마루공원,970,11,12,15,12,3,11,3,206,279,1801,3,15,13,110,3,24991,0.64,39048,2764,0.11,4318.75
등촌1동,43,64,52,62,20,41,5,24,백석공원,993,10,20,3,20,5,8,7,252,415,2283,4,8,11,97,2,24991,0.64,39048,2764,0.11,4318.75
등촌1동,43,64,52,62,20,41,5,57,,1033,10,15,1,14,4,6,4,213,327,1626,3,6,11,116,2,24991,0.64,39048,2764,0.11,4318.75
등촌1동,43,64,52,62,20,41,5,134,,879,7,9,15,9,3,8,1,147,203,1141,2,16,13,103,3,24991,0.64,39048,2764,0.11,4318.75
등촌2동,29,84,28,91,3,28,3,34,,276,9,28,6,37,0,16,13,272,589,4677,12,6,1,51,4,19855,0.92,21582,3183,0.16,3459.78
등촌2동,29,84,28,91,3,28,3,62,,855,10,31,5,31,1,3,7,195,443,3319,9,6,4,90,5,19855,0.92,21582,3183,0.16,3459.78
등촌2동,29,84,28,91,3,28,3,108,,1535,10,25,5,23,2,9,4,253,445,3053,5,16,10,68,2,19855,0.92,21582,3183,0.16,3459.78
등촌3동,38,51,71,51,29,45,7,16,,1593,6,6,14,6,5,5,1,122,143,584,0,9,12,86,6,30025,0.79,38006,6474,0.22,8194.94
등촌3동,38,51,71,51,29,45,7,17,새나라공원,1562,7,6,15,6,4,6,1,115,154,831,1,8,11,85,6,30025,0.79,38006,6474,0.22,8194.94
등촌3동,38,51,71,51,29,45,7,18,새벗공원,1565,4,8,20,8,4,5,2,126,137,609,2,8,11,45,4,30025,0.79,38006,6474,0.22,8194.94
등촌3동,38,51,71,51,29,45,7,20,푸르매공원,1537,6,8,19,8,4,8,1,164,217,1193,2,17,13,73,8,30025,0.79,38006,6474,0.22,8194.94
등촌3동,38,51,71,51,29,45,7,53,채송화공원,1544,6,9,14,9,4,5,1,129,147,590,1,9,13,68,6,30025,0.79,38006,6474,0.22,8194.94
