PARK_SN,공원명,행정동,x,y,면적,공공시설_개수,노인및사회복지시설_개수,문화및집회시설_개수,영유아시설_개수,운동시설_개수,의료시설_개수,의원_개수,제1종근린생활시설_개수,제2종근린생활시설_개수,주거_개수,주차장_개수,치안안전시설_개수,판매및영업시설_개수,학군_개수,화장실_개수,행정동 인구 (명),행정동 면적 (㎢),행정동 인구밀도 (명/㎢),행정동 고령인구수,행정동 고령인구비율,행정동 고령인구밀도,행정동 독거노인수,행정동 독거노인비율,행정동 독거노인밀도,기초생활수급자 고령인구수 (생계/주거/의료),기초생활수급자 고령인구밀도 (생계/주거/의료),최근접_지하철역사 (m),최근접_버스정류소 (m),최근접_주차장 (m),최근접_노인사회복지시설 (m),최근접_의료시설 (m),경사도
1,,가양1동,126.8470684,37.57020004,1510,3,5,8,5,1,2,1,67,75,367,0,7,10,42,7,34359,4.7,7310,3106,0.09,660.85,539,0.02,114.68,83,17.66,516.9991564,86.85072034,1539.445721,174.3197861,337.9487344,1
2,엄지공원,가양2동,126.8547353,37.5658069,1510,6,5,2,5,3,2,1,51,33,327,0,7,4,87,4,13902,1,13902,4083,0.29,4083,1690,0.12,1690,1673,1673,477.2553796,138.3079961,1375.251732,205.503051,446.820272,1
3,,가양2동,126.8545053,37.56364839,1561,6,5,12,5,4,5,0,83,88,482,0,8,10,89,5,13902,1,13902,4083,0.29,4083,1690,0.12,1690,1673,1673,236.9708332,85.4508434,1140.057666,113.1570944,274.4316207,0.5
4,,가양3동,126.8609789,37.56237484,1499,3,3,1,3,2,5,1,99,97,546,1,5,10,71,3,14678,0.5,29356,3633,0.25,7266,1328,0.09,2656,1137,2274,480.6849806,111.73954,858.175691,615.0312369,507.7364602,1.83
5,,가양3동,126.8574337,37.56231135,1611,6,5,6,5,2,5,1,94,101,610,1,8,11,79,3,14678,0.5,29356,3633,0.25,7266,1328,0.09,2656,1137,2274,285.2481772,79.55734623,982.4095172,410.7997802,292.2768055,0.5
6,활주로공원,공항동,126.8158018,37.55433677,2115,1,10,1,10,0,2,2,144,122,1490,2,3,49,19,2,30927,10.87,2845,4180,0.14,384.54,1021,0.03,93.93,533,49.03,822.3110423,56.90810171,672.4890142,216.7889647,825.7282597,0
8,개화공원,방화3동,126.8125436,37.58028038,1511,2,10,1,10,2,10,2,108,156,753,0,3,13,40,4,22544,2.55,8841,5141,0.23,2016.08,1722,0.08,675.29,1113,436.47,307.912296,152.6657952,1293.141864,248.9689774,446.1931892,1.91
9,메아리공원,방화3동,126.8143788,37.5786105,1510,4,11,1,11,2,11,6,145,203,928,0,3,15,42,6,22544,2.55,8841,5141,0.23,2016.08,1722,0.08,675.29,1113,436.47,185.9829035,60.87815054,1345.937223,159.2307622,559.7603972,1
10,내촌공원,방화2동,126.8014076,37.57757051,1220,0,2,0,2,1,5,2,67,78,612,1,2,49,29,2,23371,6.41,3646,4690,0.2,731.67,1449,0.06,226.05,782,122,404.3566482,158.1589354,284.4139805,20.57260682,737.0388514,3.09
11,,방화3동,126.8189374,37.5751102,1499,4,12,2,12,2,9,7,178,245,1325,1,3,16,46,4,22544,2.55,8841,5141,0.23,2016.08,1722,0.08,675.29,1113,436.47,604.8802207,84.23688367,929.0531233,61.13311801,333.6271376,1
12,개나리공원,방화1동,126.8122606,37.573128,250,5,18,7,18,2,14,10,262,350,2543,1,5,40,75,5,42851,1.48,28953,6674,0.16,4509.46,1228,0.03,829.73,439,296.62,488.618151,41.91745969,856.2955374,271.8858765,77.80390541,1.5
13,쌈지공원,방화1동,126.8150886,37.5712336,3986,5,19,7,19,2,14,11,307,396,2960,1,4,19,70,4,42851,1.48,28953,6674,0.16,4509.46,1228,0.03,829.73,439,296.62,446.8800777,226.4505354,547.9401059,193.0246586,242.2070799,1.41
14,아름공원,가양1동,126.8486934,37.56868207,1955,3,5,6,5,1,2,1,67,74,426,0,7,12,47,7,34359,4.7,7310,3106,0.09,660.85,539,0.02,114.68,83,17.66,611.664623,21.89992751,1507.788234,69.58542799,516.212213,2.77
15,봉선화공원,방화2동,126.8070341,37.5665829,536,4,16,6,16,2,22,12,330,390,2962,3,5,50,54,1,23371,6.41,3646,4690,0.2,731.67,1449,0.06,226.05,782,122,448.2867339,152.1799363,689.4880744,10.20680041,385.6794831,1
16,,등촌3동,126.8485544,37.56323356,1593,6,6,14,6,5,5,1,122,143,584,0,9,12,86,6,30025,0.79,38006,6474,0.22,8194.94,2696,0.09,3412.66,2602,3293.67,547.2528693,110.9629084,1053.391355,386.4468145,286.9683983,0
17,새나라공원,등촌3동,126.8520374,37.56156638,1562,7,6,15,6,4,6,1,115,154,831,1,8,11,85,6,30025,0.79,38006,6474,0.22,8194.94,2696,0.09,3412.66,2602,3293.67,205.438745,12.81442788,864.0428061,189.7241809,116.8883673,0
18,새벗공원,등촌3동,126.8403003,37.56070294,1565,4,8,20,8,4,5,2,126,137,609,2,8,11,45,4,30025,0.79,38006,6474,0.22,8194.94,2696,0.09,3412.66,2602,3293.67,308.7816566,139.0751353,375.4776882,398.0348633,170.6693511,0
20,푸르매공원,등촌3동,126.8475171,37.55905135,1537,6,8,19,8,4,8,1,164,217,1193,2,17,13,73,8,30025,0.79,38006,6474,0.22,8194.94,2696,0.09,3412.66,2602,3293.67,663.5518647,59.96024007,633.5600669,103.0223409,385.3386976,1.29
21,매화근린공원,등촌1동,126.8609475,37.5574598,1979,5,8,4,7,5,8,3,186,242,1378,2,7,13,89,3,24991,0.64,39048,2764,0.11,4318.75,758,0.03,1184.38,109,170.31,65.38282054,69.6469139,364.0321645,151.9959501,42.69883981,5.64
22,등마루공원,등촌1동,126.8574126,37.55603774,970,11,12,15,12,3,11,3,206,279,1801,3,15,13,110,3,24991,0.64,39048,2764,0.11,4318.75,758,0.03,1184.38,109,170.31,376.1946519,194.5686423,556.2217606,199.6554971,178.5026591,2.98
23,다솔공원,공항동,126.8183607,37.5545922,2491,2,11,2,11,0,2,2,140,109,1459,2,4,45,20,2,30927,10.87,2845,4180,0.14,384.54,1021,0.03,93.93,533,49.03,837.3632295,130.8819615,764.011755,29.21990935,927.8124627,0
24,백석공원,등촌1동,126.8634913,37.55262153,993,10,20,3,20,5,8,7,252,415,2283,4,8,11,97,2,24991,0.64,39048,2764,0.11,4318.75,758,0.03,1184.38,109,170.31,270.0863875,84.68181418,254.5815005,159.8498424,92.8607494,3.23
25,,화곡6동,126.8463765,37.55193986,977,6,19,17,19,6,16,3,213,280,2704,4,16,10,49,8,25303,1.11,22795,3950,0.16,3558.56,917,0.04,826.13,356,320.72,950.7455375,90.65568552,425.2445037,14.31921953,296.2904728,9.2
26,백연공원,화곡6동,126.8519301,37.55068804,1101,12,25,16,25,1,7,1,202,263,2992,3,14,6,78,7,25303,1.11,22795,3950,0.16,3558.56,917,0.04,826.13,356,320.72,1134.144509,15.20203603,374.023835,202.2026418,243.6053793,7.03
27,개나리공원,우장산동,126.8440997,37.54839274,281,5,27,11,27,4,35,12,275,337,3966,10,13,6,43,8,42883,1.36,31532,5945,0.14,4371.32,904,0.02,664.71,235,172.79,686.4806063,120.0698774,536.5589072,123.0967064,430.6474651,11.67
28,소나무공원,화곡본동,126.8478491,37.54707412,942,4,32,5,32,3,25,10,208,266,3804,9,12,2,50,9,34121,0.98,34817,4899,0.14,4998.98,1212,0.04,1236.73,506,516.33,892.3252978,121.9915304,310.0737571,130.8281108,217.8889657,1.29
29,대원공원,화곡3동,126.8359264,37.54489362,277,5,17,7,19,3,32,15,295,447,3854,11,8,8,91,4,21603,0.53,40760,4102,0.19,7739.62,781,0.04,1473.58,245,462.26,438.1886578,132.8496299,362.538537,108.7167088,70.94779616,0.5
30,,우장산동,126.8415519,37.54312444,973,3,34,8,35,4,27,16,326,432,5403,13,6,8,43,7,42883,1.36,31532,5945,0.14,4371.32,904,0.02,664.71,235,172.79,194.7718512,100.1551623,72.28353708,18.68662456,111.9405898,2.96
31,노을공원,화곡본동,126.843955,37.53986425,1011,4,39,8,40,5,40,19,355,478,6248,12,6,11,40,6,34121,0.98,34817,4899,0.14,4998.98,1212,0.04,1236.73,506,516.33,366.1105342,214.7408284,147.5956957,107.8052837,227.0771509,4.7
32,,화곡8동,126.8475873,37.53809701,951,5,45,7,45,4,41,17,337,403,6387,11,5,4,87,8,24415,0.53,46066,4394,0.18,8290.57,1011,0.04,1907.55,368,694.34,682.6348849,164.2984663,119.8378266,11.69741983,443.1526899,6.28
33,,화곡1동,126.8384988,37.5379098,1977,5,29,11,32,5,39,23,386,872,6310,17,8,13,59,2,52647,1.12,47006,8353,0.16,7458.04,1978,0.04,1766.07,670,598.21,444.7869808,94.47398346,192.9968636,13.14109918,170.5369965,1.22
34,,등촌2동,126.862604,37.537185,276,9,28,6,37,0,16,13,272,589,4677,12,6,1,51,4,19855,0.92,21582,3183,0.16,3459.78,530,0.03,576.09,142,154.35,1526.979355,79.11443372,50.30388466,238.1254975,206.2002135,11.52
35,은행공원,화곡1동,126.8405344,37.5358154,1125,4,33,10,35,4,43,23,442,914,6983,22,7,10,34,2,52647,1.12,47006,8353,0.16,7458.04,1978,0.04,1766.07,670,598.21,642.8965454,228.9734048,159.7282906,63.01333985,278.8833552,5.36
36,월정공원,화곡1동,126.8360027,37.5351838,1180,7,32,9,31,2,24,17,378,987,6420,13,5,13,55,1,52647,1.12,47006,8353,0.16,7458.04,1978,0.04,1766.07,670,598.21,813.5064353,169.0643118,460.7383547,367.4169772,175.8774105,0
37,무지개공원,화곡4동,126.8613071,37.53397028,968,10,30,4,41,1,17,16,326,805,4590,12,4,4,77,3,20514,0.82,25017,3840,0.19,4682.93,903,0.04,1101.22,400,487.8,1318.389749,230.3334399,43.44761706,44.0206275,190.8298344,3.66
38,필마공원,화곡1동,126.838811,37.53149912,1607,6,26,6,32,5,21,13,354,964,5655,17,4,9,40,1,52647,1.12,47006,8353,0.16,7458.04,1978,0.04,1766.07,670,598.21,689.7924669,109.3644463,94.29894792,266.2505794,99.77414574,0.5
39,달빛공원,화곡4동,126.8629451,37.53119812,973,8,30,4,44,1,17,14,314,909,4448,9,7,7,76,1,20514,0.82,25017,3840,0.19,4682.93,903,0.04,1101.22,400,487.8,1447.510241,86.44922714,227.2249852,299.4824269,47.28334822,0
40,뜸부기공원,화곡2동,126.8569466,37.5301389,1003,8,35,3,44,3,28,22,399,1083,5798,13,5,4,72,1,17785,0.45,39522,2932,0.16,6515.56,674,0.04,1497.78,283,628.89,937.7131242,46.84870855,326.7734953,243.6392437,212.9315215,0.5
41,곰돌이공원,화곡1동,126.8450191,37.52956702,1003,6,33,3,35,4,23,15,336,900,5865,11,3,9,81,2,52647,1.12,47006,8353,0.16,7458.04,1978,0.04,1766.07,670,598.21,303.2002649,109.5650217,112.7985907,273.0643596,247.8092427,5.88
42,이수공원,염창동,126.8742543,37.54821303,1796,5,14,3,16,3,8,8,162,409,2262,6,2,4,45,8,41628,1.74,23924,4409,0.11,2533.91,629,0.02,361.49,90,51.72,141.8461856,76.53083746,123.7259529,127.5462512,131.442219,0
45,느티공원,방화3동,126.810313,37.5793877,1512,2,10,1,10,2,10,2,131,178,950,0,5,17,47,4,22544,2.55,8841,5141,0.23,2016.08,1722,0.08,675.29,1113,436.47,301.7762553,266.6173657,1081.514474,171.5606445,548.0084724,7.42
46,능말공원,방화3동,126.8106074,37.57797241,1520,2,13,1,13,2,10,6,154,224,1215,0,5,17,47,5,22544,2.55,8841,5141,0.23,2016.08,1722,0.08,675.29,1113,436.47,199.2066283,206.5698858,1094.649862,24.75261576,465.4200372,2
47,돌샘공원,방화3동,126.8189336,37.57608273,1499,4,9,2,9,2,8,6,155,219,1150,0,3,16,47,4,22544,2.55,8841,5141,0.23,2016.08,1722,0.08,675.29,1113,436.47,565.3765915,29.87252747,1036.34275,147.5028343,438.819676,6.04
49,샛별공원,방화2동,126.8094972,37.57271237,279,5,17,6,17,2,14,10,266,362,2583,1,5,51,76,4,23371,6.41,3646,4690,0.2,731.67,1449,0.06,226.05,782,122,243.4609014,61.41539047,984.00175,352.2852252,88.74158445,2.41
50,,방화2동,126.806501,37.57051537,3823,4,14,5,14,2,20,10,293,372,2521,0,3,51,60,3,23371,6.41,3646,4690,0.2,731.67,1449,0.06,226.05,782,122,222.9437842,192.9854922,1025.799098,419.5352397,292.0690027,0.5
51,민들레공원,방화2동,126.8067472,37.56725908,582,5,18,6,18,2,22,12,336,401,2879,3,5,50,54,1,23371,6.41,3646,4690,0.2,731.67,1449,0.06,226.05,782,122,520.7795332,112.7737235,728.7641735,71.06968383,445.1274473,1
53,채송화공원,등촌3동,126.8460549,37.56276232,1544,6,9,14,9,4,5,1,129,147,590,1,9,13,68,6,30025,0.79,38006,6474,0.22,8194.94,2696,0.09,3412.66,2602,3293.67,708.397074,119.3405046,932.4076466,500.508418,498.9472321,0
54,한마음공원,등촌3동,126.8431137,37.56066503,1791,4,7,16,7,4,6,2,130,148,707,1,8,12,65,5,30025,0.79,38006,6474,0.22,8194.94,2696,0.09,3412.66,2602,3293.67,506.8651144,168.0180309,605.965185,371.8719994,270.7421793,0
56,,공항동,126.8138334,37.55669215,1661,1,12,3,12,0,11,5,233,215,2145,1,4,56,19,2,30927,10.87,2845,4180,0.14,384.54,1021,0.03,93.93,533,49.03,518.2457484,151.8550319,370.0818338,17.49947903,515.3383025,0
57,,등촌1동,126.8628871,37.55560257,1033,10,15,1,14,4,6,4,213,327,1626,3,6,11,116,2,24991,0.64,39048,2764,0.11,4318.75,758,0.03,1184.38,109,170.31,325.318495,111.7486646,96.11240929,206.9349997,185.1565396,3.35
58,,발산1동,126.8331793,37.55220872,913,3,13,8,13,2,11,5,120,152,1398,6,3,13,66,3,36236,2.94,12325,4832,0.13,1643.54,893,0.02,303.74,432,146.94,467.9317959,207.6793311,219.2828919,18.5288912,227.5551276,3.22
