fid,x,y
"782",126.8170509509,37.5703425113
"1536",126.8122153588,37.5715539470
"1637",126.8100743509,37.5587828194
"1836",126.8682802060,37.5496483941
"3206",126.8415924631,37.5305085938
"3820",126.8418362918,37.5482886103
"3889",126.8625035069,37.5426582704
"4284",126.8529497693,37.5308850771
"4325",126.8500765121,37.5518166934
"6626",126.8136575311,37.5787189794
"6899",126.8438799901,37.5560223023
"7316",126.8499861847,37.5588643947
"8409",126.8608015074,37.5346853254
"8747",126.8596384225,37.5477094071
"8748",126.8600867891,37.5481346713
"8752",126.8544885163,37.5318278519
"9112",126.8595859695,37.5476428053
"9113",126.8603143779,37.5480548060
"9114",126.8599277728,37.5479029971
"10374",126.8589098770,37.5558286855
"10817",126.8502082508,37.5286490050
"11522",126.8709656886,37.5537713088
"12622",126.8476633697,37.5440482217
"16277",126.8483303335,37.5326957699
"17053",126.8512712208,37.5673988875
"17267",126.8331774377,37.5531163117
"17663",126.8322620130,37.5531513955
"18084",126.8423747686,37.5624550983
"19656",126.8067375813,37.5667186553
"20559",126.8605576926,37.5610870172
"21654",126.8447046587,37.5694881472
"21658",126.8641023164,37.5617834326
"21796",126.8384138539,37.5425263063
"22953",126.8479185122,37.5588876842
"25003",126.8206119629,37.5462375460
"25182",126.8170734917,37.5705476637
"49111",126.8668277899,37.5400624537
"106523",126.8342477527,37.5205098560
"276222",126.8338174385,37.5137254064
"328887",126.8727968155,37.5243276702
"328991",126.8322892587,37.5127382614
"335613",126.8643886822,37.5170567149
"335707",126.8356060190,37.5190741686
"335712",126.8350649414,37.5198556344
"335907",126.8717014491,37.5461435980
"336045",126.8273509099,37.5396835264
"336342",126.8683947478,37.5324331823
"336528",126.8786503894,37.5351964912
"336756",126.8757287755,37.5334321957
"336757",126.8763917368,37.5332047831
"336758",126.8762308170,37.5335601664
"336764",126.8711897588,37.5303656624
"336962",126.8706740396,37.5192141622
"337172",126.8596713183,37.5143994967
"337372",126.8547892399,37.5151471595
"338867",126.8844253999,37.5380236950
"347806",126.8566021309,37.5259751836
"348244",126.8542860454,37.5185718625
"349181",126.8445694210,37.5249742648
"349471",126.8271742760,37.5385821160
"353405",126.8315273004,37.5328062406
"354532",126.8347090376,37.5218837591
"357212",126.8300868950,37.5274318980
"357243",126.8673115797,37.5088616737
"357298",126.8644361050,37.5447411776
"357702",126.8290822186,37.5336317546
"360343",126.8714347331,37.5195086923
"360344",126.8715394287,37.5194697450
"579791",126.8285360531,37.5373491021
"584735",126.8623112121,37.5293337874
"584787",126.8407830453,37.5124124134
"590148",126.8637300085,37.5167277160
"591061",126.8558029456,37.5245603259
"591631",126.8817165131,37.5371833320
"595346",126.8669731489,37.5400881612
"601803",126.8733397726,37.5398691027
