origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
1,782,,,,
1,1536,50.8812031,2389.9824402,6.8206078,2447.6842511
1,1637,50.8812031,3195.9464311,22.5560538,3269.3836881
1,1836,50.8812031,2425.3453681,23.5670334,2499.7936047
1,3206,50.8812031,3776.8432164,11.0135309,3838.7379504
1,3820,50.8812031,2618.4525698,12.7737802,2682.1075531
1,3889,50.8812031,2852.7187446,8.3505971,2911.9505447
1,4284,50.8812031,3948.2681753,6.4001656,4005.5495440
1,4325,50.8812031,1838.1410014,12.8537622,1901.8759667
1,6626,50.8812031,2564.5242639,14.7350218,2630.1404888
1,6899,50.8812031,1400.3087905,6.0414017,1457.2313953
1,7316,50.8812031,1133.4091679,19.9707938,1204.2611649
1,8409,50.8812031,3584.4919373,9.4232578,3644.7963982
1,8747,50.8812031,2566.4464865,19.6540283,2636.9817179
1,8748,50.8812031,2433.5857008,5.9674693,2490.4343732
1,8752,50.8812031,3872.6165740,12.4525060,3935.9502832
1,9112,50.8812031,2566.4464865,13.4640514,2630.7917410
1,9113,50.8812031,2418.2393777,4.6376355,2473.7582163
1,9114,50.8812031,2433.5788529,27.0650789,2511.5251349
1,10374,50.8812031,1648.8422137,12.9213120,1712.6447288
1,10817,50.8812031,4034.9670320,18.4753729,4104.3236081
1,11522,50.8812031,2261.8705515,14.1350103,2326.8867649
1,12622,50.8812031,2651.7364436,9.9593781,2712.5770248
1,16277,50.8812031,3684.9931998,6.8745594,3742.7489624
1,17053,50.8812031,335.3234997,22.8832782,409.0879810
1,17267,50.8812031,1999.6154705,15.1912227,2065.6878963
1,17663,50.8812031,2057.7048862,10.5363054,2119.1223947
1,18084,50.8812031,1006.0613556,12.4681787,1069.4107375
1,19656,50.8812031,2877.1605570,7.9823220,2936.0240821
1,20559,50.8812031,1158.0643048,20.4193824,1229.3648904
1,21654,50.8812031,123.9536376,51.8679656,226.7028063
1,21658,50.8812031,1418.3763999,7.2714473,1476.5290504
1,21796,50.8812031,2713.4556418,8.0784908,2772.4153358
1,22953,50.8812031,1163.5198560,13.6194080,1228.0204671
1,25003,50.8812031,3261.5065659,41.6170327,3354.0048017
1,25182,50.8812031,2110.6597605,15.0630217,2176.6039854
1,49111,50.8812031,3186.6655189,3.8610881,3241.4078101
1,106523,50.8812031,4805.5891811,23.6221804,4880.0925646
1,276222,50.8812031,4805.5891811,23.6221804,4880.0925646
1,328887,50.8812031,4748.1997497,8.5777945,4807.6587473
1,328991,50.8812031,4748.1997497,8.5777945,4807.6587473
1,335613,50.8812031,5005.6940599,31.7277459,5088.3030089
1,335707,50.8812031,4875.9355923,45.1194617,4971.9362572
1,335712,50.8812031,4874.1713102,21.6405178,4946.6930311
1,335907,50.8812031,2855.3631091,16.0360254,2922.2803376
1,336045,50.8812031,3280.2361911,24.9966556,3356.1140498
1,336342,50.8812031,3858.6100304,9.9195029,3919.4107365
1,336528,50.8812031,5618.0693016,16.1401008,5685.0906055
1,336756,50.8812031,4195.2278977,13.3780242,4259.4871251
1,336757,50.8812031,4200.8919928,57.9854402,4309.7586361
1,336758,50.8812031,4179.8766952,43.2049668,4273.9628651
1,336764,50.8812031,4662.2330015,24.4951140,4737.6093186
1,336962,50.8812031,5079.1045807,26.0284824,5156.0142663
1,337172,50.8812031,5496.7837240,18.8566541,5566.5215812
1,337372,50.8812031,5655.0955713,13.7294057,5719.7061801
1,338867,50.8812031,4406.7225022,49.7382307,4507.3419360
1,347806,50.8812031,4559.6678399,8.6197665,4619.1688096
1,348244,50.8812031,5321.7680556,15.3409954,5387.9902541
1,349181,50.8812031,4463.3493916,10.3549979,4524.5855926
1,349471,50.8812031,3403.3441304,13.2767450,3467.5020785
1,353405,50.8812031,3670.6970224,12.6562248,3734.2344503
1,354532,50.8812031,4687.1599565,9.2694893,4747.3106489
1,357212,50.8812031,3962.8616083,149.0735018,4162.8163132
1,357243,50.8812031,3962.8616083,149.0735018,4162.8163132
1,357298,50.8812031,2704.0562563,10.6468758,2765.5843352
1,357702,50.8812031,3710.0923018,8.4200141,3769.3935191
1,360343,50.8812031,5101.5932524,26.6552161,5179.1296716
1,360344,50.8812031,5215.2539007,23.1615512,5289.2966551
1,579791,50.8812031,3440.1018753,16.2121282,3507.1952066
1,584735,50.8812031,4128.8322082,10.9456735,4190.6590848
1,584787,50.8812031,5489.0147696,30.8894391,5570.7854118
1,590148,50.8812031,5054.6389283,39.0335778,5144.5537092
1,591061,50.8812031,4733.8863964,9.5713084,4794.3389080
1,591631,50.8812031,4300.3047751,41.7571882,4392.9431665
1,595346,50.8812031,3161.9750457,7.8984745,3220.7547234
1,601803,50.8812031,3495.0029622,8.3733889,3554.2575542
2,782,50.8812031,3495.0029622,8.3733889,3554.2575542
2,1536,80.2911876,2984.0764950,6.8206078,3071.1882905
2,1637,80.2911876,3436.4706652,22.5560538,3539.3179067
2,1836,80.2911876,1828.5650869,23.5670334,1932.4233079
2,3206,80.2911876,3267.2620230,11.0135309,3358.5667415
2,3820,80.2911876,2021.6722886,12.7737802,2114.7372564
2,3889,80.2911876,2255.9384633,8.3505971,2344.5802480
2,4284,80.2911876,3351.4878940,6.4001656,3438.1792472
2,4325,80.2911876,1241.3607201,12.8537622,1334.5056699
2,6626,80.2911876,3158.6183188,14.7350218,3253.6445282
2,6899,80.2911876,1247.5888308,6.0414017,1333.9214201
2,7316,80.2911876,592.5170493,19.9707938,692.7790307
2,8409,80.2911876,2987.7116560,9.4232578,3077.4261014
2,8747,80.2911876,1969.6662052,19.6540283,2069.6114212
2,8748,80.2911876,1836.8054196,5.9674693,1923.0640764
2,8752,80.2911876,3275.8362928,12.4525060,3368.5799864
2,9112,80.2911876,1969.6662052,13.4640514,2063.4214443
2,9113,80.2911876,1821.4590964,4.6376355,1906.3879196
2,9114,80.2911876,1836.7985716,27.0650789,1944.1548382
2,10374,80.2911876,1052.0619324,12.9213120,1145.2744321
2,10817,80.2911876,3438.1867508,18.4753729,3536.9533113
2,11522,80.2911876,1665.0902702,14.1350103,1759.5164681
2,12622,80.2911876,2054.9561623,9.9593781,2145.2067280
2,16277,80.2911876,3088.2129186,6.8745594,3175.3786656
2,17053,80.2911876,261.4567816,22.8832782,364.6312474
2,17267,80.2911876,1997.6169315,15.1912227,2093.0993418
2,17663,80.2911876,2055.7063472,10.5363054,2146.5338403
2,18084,80.2911876,1040.7465248,12.4681787,1133.5058912
2,19656,80.2911876,3471.2546118,7.9823220,3559.5281215
2,20559,80.2911876,561.2840236,20.4193824,661.9945936
2,21654,80.2911876,720.7339188,51.8679656,852.8930721
2,21658,80.2911876,821.5961187,7.2714473,909.1587536
2,21796,80.2911876,2430.5296903,8.0784908,2518.8993687
2,22953,80.2911876,757.4489062,13.6194080,851.3595018
2,25003,80.2911876,3265.5876452,41.6170327,3387.4958655
2,25182,80.2911876,2704.7538154,15.0630217,2800.1080247
2,49111,80.2911876,2589.8852376,3.8610881,2674.0375134
2,106523,80.2911876,4523.7146706,23.6221804,4627.6280386
2,276222,80.2911876,4523.7146706,23.6221804,4627.6280386
2,328887,80.2911876,4151.4194684,8.5777945,4240.2884505
2,328991,80.2911876,4151.4194684,8.5777945,4240.2884505
2,335613,80.2911876,4408.9137786,31.7277459,4520.9327122
2,335707,80.2911876,4582.1877286,45.1194617,4707.5983780
2,335712,80.2911876,4592.2967996,21.6405178,4694.2285051
2,335907,80.2911876,2258.5828278,16.0360254,2354.9100408
2,336045,80.2911876,3143.5159486,24.9966556,3248.8037918
2,336342,80.2911876,3261.8297491,9.9195029,3352.0404397
2,336528,80.2911876,5021.2890203,16.1401008,5117.7203087
2,336756,80.2911876,3598.4476165,13.3780242,3692.1168283
2,336757,80.2911876,3604.1117115,57.9854402,3742.3883393
2,336758,80.2911876,3583.0964139,43.2049668,3706.5925683
2,336764,80.2911876,4065.4527202,24.4951140,4170.2390218
2,336962,80.2911876,4482.3242995,26.0284824,4588.6439695
