origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
1,324,70.6683377,854.2175179,13.3930692,938.2789247
1,761,70.6683377,854.2175179,13.3930692,938.2789247
1,762,70.6683377,854.2175179,13.3930692,938.2789247
1,763,70.6683377,854.2175179,13.3930692,938.2789247
1,764,70.6683377,854.2175179,13.3930692,938.2789247
1,765,70.6683377,854.2175179,13.3930692,938.2789247
1,766,70.6683377,854.2175179,13.3930692,938.2789247
1,767,70.6683377,854.2175179,13.3930692,938.2789247
1,768,70.6683377,1404.3459784,31.5389479,1506.5532639
1,769,70.6683377,1101.5863077,60.8657525,1233.1203978
1,770,70.6683377,1140.6140342,161.1727811,1372.4551529
1,771,70.6683377,1140.6140342,161.1727811,1372.4551529
1,779,70.6683377,1982.6657333,32.3424733,2085.6765443
1,1088,70.6683377,3696.3869049,34.7653136,3801.8205561
1,1969,70.6683377,1804.6812308,37.9961771,1913.3457456
1,1970,70.6683377,1772.0867004,86.9408966,1929.6959346
1,1971,70.6683377,1796.0079016,66.2949261,1932.9711654
1,1972,70.6683377,1805.5758318,110.0857275,1986.3298969
1,1973,70.6683377,1776.3883857,60.2718212,1907.3285446
1,1974,70.6683377,1743.7863069,59.3383079,1873.7929525
1,1975,70.6683377,1709.6891461,59.3734436,1839.7309273
1,1976,70.6683377,1799.1122609,109.9618690,1979.7424676
1,3248,70.6683377,3426.3279500,12.4356643,3509.4319520
1,3606,70.6683377,2005.4894519,19.0316541,2095.1894437
1,4234,70.6683377,1474.3310400,62.4756318,1607.4750095
1,4382,70.6683377,1554.7201015,69.3963642,1694.7848034
1,4413,70.6683377,2316.9234489,12.5443037,2400.1360903
1,4498,70.6683377,2329.4196840,24.6331370,2424.7211587
1,6730,70.6683377,5413.5259736,25.6724823,5509.8667935
1,6731,70.6683377,5400.0993867,27.1608395,5497.9285638
1,6893,70.6683377,2167.3278164,14.3668982,2252.3630523
1,8641,70.6683377,4081.4619755,15.5507251,4167.6810383
1,8642,70.6683377,4096.2157344,11.8679058,4178.7519779
1,10943,70.6683377,4949.7084551,12.2027375,5032.5795303
1,11816,70.6683377,859.4784385,32.5882198,962.7349960
1,12882,70.6683377,4587.9108337,8.5989917,4667.1781630
1,13794,70.6683377,802.4848895,10.1806073,883.3338345
1,13795,70.6683377,837.5940346,19.9942424,928.2566147
1,13796,70.6683377,802.4848895,21.5179930,894.6712201
1,13797,70.6683377,802.4848895,15.1162810,888.2695082
1,13798,70.6683377,828.1265813,8.0179844,906.8129034
1,13992,70.6683377,2866.5181281,22.8526437,2960.0391094
1,16241,70.6683377,3675.8938223,31.0713662,3777.6335261
