origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
1,29,50.8812031,2558.9859978,6.2190420,2616.0862429
1,34,50.8812031,2425.1622104,4.2023431,2480.2457566
1,321,50.8812031,3094.1597247,6.6422173,3151.6831451
1,574,50.8812031,3094.1597247,6.6422173,3151.6831451
1,1238,50.8812031,2232.6190713,12.4019804,2295.9022548
1,1240,50.8812031,2223.1473565,13.0530817,2287.0816413
1,1251,50.8812031,2151.8770259,10.8054356,2213.5636646
1,1262,50.8812031,2015.5601037,8.0747867,2074.5160935
1,1308,50.8812031,1787.7316720,6.6963420,1845.3092172
1,2347,50.8812031,1487.1736423,11.3604716,1549.4153171
1,2716,50.8812031,3878.4561415,7.7821256,3937.1194702
1,2857,50.8812031,2958.7923421,10.4427214,3020.1162667
1,3022,50.8812031,3422.2645205,4.2680005,3477.4137242
1,3247,50.8812031,2507.6598928,5.7021447,2564.2432407
1,3304,50.8812031,2280.5039300,17.7210065,2349.1061396
1,3837,50.8812031,3124.2544831,9.7877261,3184.9234123
1,4080,50.8812031,2626.6915361,17.2200526,2694.7927919
1,5011,50.8812031,3949.5323841,12.4614785,4012.8750657
1,5112,50.8812031,2158.9546946,5.7335427,2215.5694404
1,5135,50.8812031,3185.6825814,6.3030612,3242.8668457
1,5683,50.8812031,3711.7804388,15.9724808,3778.6341227
1,5700,50.8812031,2613.8132628,5.7860742,2670.4805401
1,5906,50.8812031,2495.2905014,7.8510329,2554.0227374
1,6017,50.8812031,3658.7270237,6.3857469,3715.9939737
1,6116,50.8812031,3991.4151637,8.9301466,4051.2265135
1,6201,50.8812031,1871.5525363,12.5629841,1934.9967236
1,6475,50.8812031,3784.3013021,7.2555160,3842.4380212
1,6479,50.8812031,3680.0098300,12.5453754,3743.4364085
1,6537,50.8812031,1986.2528887,6.6611365,2043.7952284
1,7001,50.8812031,2633.0289645,5.1274811,2689.0376488
1,7404,50.8812031,2637.1052904,9.3227409,2697.3092344
1,7470,50.8812031,2979.7830803,5.6538061,3036.3180895
1,7736,50.8812031,2226.0148058,5.6101688,2282.5061778
1,7940,50.8812031,3808.9251707,6.7067937,3866.5131675
1,8098,50.8812031,2236.4383660,10.7092973,2298.0288664
1,8138,50.8812031,2718.6284618,6.1096930,2775.6193580
1,8176,50.8812031,3036.1360070,24.6078725,3111.6250826
1,8177,50.8812031,3036.1360070,24.6078725,3111.6250826
1,8178,50.8812031,3059.5864359,34.8050044,3145.2726435
1,8179,50.8812031,3059.5864359,34.8050044,3145.2726435
1,8277,50.8812031,3235.5106326,9.2047590,3295.5965947
1,8287,50.8812031,3209.9061158,6.6377794,3267.4250983
1,8395,50.8812031,3821.7784500,8.1139406,3880.7735937
1,8573,50.8812031,2510.6171524,7.5387902,2569.0371457
1,8689,50.8812031,3802.6393620,7.7003955,3861.2209606
1,8719,50.8812031,2572.2377042,6.0886656,2629.2075730
1,8773,50.8812031,3643.1324635,6.0743188,3700.0879854
1,8783,50.8812031,3747.2793486,10.6829692,3808.8435209
1,8889,50.8812031,2438.8920606,12.2157380,2501.9890017
1,8978,50.8812031,2257.5340707,8.9541613,2317.3694352
1,9015,50.8812031,2168.8946340,5.9961692,2225.7720063
1,9091,50.8812031,2666.7040858,11.0012439,2728.5865328
1,9537,50.8812031,3800.3155818,8.3711186,3859.5679035
1,9580,50.8812031,837.7338327,8.8836146,897.4986503
1,9638,50.8812031,2457.9088908,11.9422797,2520.7323737
1,9771,50.8812031,3232.0002880,9.1473880,3292.0288791
1,9902,50.8812031,3709.5195133,6.5775441,3766.9782606
1,9916,50.8812031,3605.3535910,9.5838093,3665.8186033
1,10184,50.8812031,3406.9346290,6.6742027,3464.4900348
1,10343,50.8812031,3119.5188269,4.3937025,3174.7937325
1,10490,50.8812031,2413.6034393,7.1226701,2471.6073126
1,11143,50.8812031,2647.2955271,11.0247293,2709.2014595
1,11369,50.8812031,2529.2602630,5.6583543,2585.7998205
1,12207,50.8812031,1879.9726639,7.7436950,1938.5975620
1,12388,50.8812031,2227.4650647,9.3954175,2287.7416853
1,12493,50.8812031,2648.0668062,6.4939144,2705.4419238
1,12938,50.8812031,2568.3062087,6.7119453,2625.8993572
1,12954,50.8812031,2784.8745329,6.7372372,2842.4929733
1,13039,50.8812031,2200.8626778,4.5076511,2256.2515320
1,13076,50.8812031,3312.6229684,7.1951061,3370.6992777
1,13212,50.8812031,2611.1981572,10.1273647,2672.2067250
1,13482,50.8812031,2355.0347886,8.9671591,2414.8831508
1,13501,50.8812031,1787.3175536,11.6414172,1849.8401740
