origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
1,122,70.6683377,3654.0190035,28.8300073,3753.5173485
1,131,70.6683377,5187.3527180,21.0450234,5279.0660791
1,197,70.6683377,2450.1270540,23.2848980,2544.0802897
1,553,70.6683377,2298.9081706,22.7554062,2392.3319144
1,1053,70.6683377,2298.9081706,22.7554062,2392.3319144
1,1130,70.6683377,3501.7325829,12.3924068,3584.7933273
1,1216,70.6683377,3637.3052875,18.4365258,3726.4101510
1,1217,70.6683377,3651.8514475,26.0810538,3748.6008389
1,1351,70.6683377,4028.0003777,18.1080549,4116.7767702
1,1352,70.6683377,4036.0662844,17.6813345,4124.4159566
1,1353,70.6683377,4036.0662844,34.7792763,4141.5138984
1,1354,70.6683377,4017.2180863,18.6087155,4106.4951394
1,1358,70.6683377,4009.7577449,17.9175049,4098.3435874
1,1368,70.6683377,3979.6379589,7.0196064,4057.3259030
1,1441,70.6683377,3603.7508386,16.7396837,3691.1588600
1,1447,70.6683377,3569.9521744,11.4715893,3652.0921014
1,1453,70.6683377,3443.1776653,17.0448436,3530.8908465
1,1670,70.6683377,3556.3529233,12.4967344,3639.5179953
1,1693,70.6683377,3386.5203516,17.9468024,3475.1354917
1,1704,70.6683377,3173.5696063,11.1292588,3255.3672028
1,1722,70.6683377,3075.4579031,21.9763514,3168.1025922
1,1761,70.6683377,2350.2559203,25.5989176,2446.5231756
1,1819,70.6683377,2926.3006426,27.8823352,3024.8513155
1,1906,70.6683377,5611.1575002,30.6395909,5712.4654288
1,1991,70.6683377,1923.8978081,22.4822542,2017.0483999
1,2238,70.6683377,4101.3841208,33.8794841,4205.9319425
1,2240,70.6683377,4147.1374969,19.5673085,4237.3731431
1,2411,70.6683377,3215.5149441,16.9144318,3303.0977136
1,2434,70.6683377,4895.1030030,12.5820766,4978.3534173
1,2453,70.6683377,2620.9131810,28.1340395,2719.7155581
1,2559,70.6683377,5524.8985209,10.2027804,5605.7696389
1,2752,70.6683377,1486.2335133,35.9616606,1592.8635116
1,2778,70.6683377,2348.6600272,25.7490175,2445.0773824
1,2903,70.6683377,5387.5769417,15.2794631,5473.5247425
1,2913,70.6683377,5387.5769417,15.2794631,5473.5247425
1,2924,70.6683377,5096.6004895,18.0188528,5185.2876800
1,2929,70.6683377,3735.5539261,28.1100162,3834.3322800
1,3043,70.6683377,3735.5539261,28.1100162,3834.3322800
1,3063,70.6683377,3735.5539261,28.1100162,3834.3322800
1,3085,70.6683377,3641.2053790,27.9975228,3739.8712394
1,3086,70.6683377,3590.5361777,25.6066521,3686.8111675
1,3089,70.6683377,3587.4707988,15.6475700,3673.7867064
1,3140,70.6683377,1126.1987695,21.9431888,1218.8102960
1,3222,70.6683377,1126.1987695,21.9431888,1218.8102960
1,3249,70.6683377,3364.0163603,19.3936500,3454.0783479
1,3279,70.6683377,3857.7889960,16.7945956,3945.2519293
1,3285,70.6683377,3810.8550861,13.3390208,3894.8624446
1,3434,70.6683377,3107.4579782,8.3844132,3186.5107290
1,3435,70.6683377,3052.5508196,19.9654945,3143.1846518
1,3459,70.6683377,3508.5184088,11.9246429,3591.1113894
1,3473,70.6683377,3754.7835883,8.3407170,3833.7926429
1,3474,70.6683377,3752.8097976,15.1626089,3838.6407442
1,3476,70.6683377,3743.6996132,12.9528944,3827.3208452
1,3509,70.6683377,3333.6641338,19.5661369,3423.8986083
1,3540,70.6683377,4429.3215822,20.2321078,4520.2220276
1,3560,70.6683377,4726.5260920,23.0381805,4820.2326101
1,3651,70.6683377,3382.4572660,10.3729250,3463.4985287
1,3706,70.6683377,3382.4572660,10.3729250,3463.4985287
1,3737,70.6683377,3947.0077371,18.1576243,4035.8336991
1,3811,70.6683377,3577.8078594,24.2069878,3672.6831848
1,3953,70.6683377,3622.6562421,34.1506901,3727.4752698
1,4073,70.6683377,2028.2547792,24.9309926,2123.8541094
1,4210,70.6683377,3368.0781836,10.3512388,3449.0977601
1,4214,70.6683377,3350.2415099,8.3587914,3429.2686389
1,4283,70.6683377,5376.6575337,10.6071292,5457.9330005
1,4306,70.6683377,3825.9807182,9.1438803,3905.7929361
1,4326,70.6683377,2547.0157136,15.0911760,2632.7752273
1,4340,70.6683377,5179.7552043,21.5549333,5271.9784753
1,4343,70.6683377,5151.4938095,13.1148538,5235.2770009
1,4344,70.6683377,5150.4334931,22.9157410,5244.0175717
1,4345,70.6683377,5114.8716687,20.6850570,5206.2250634
1,4405,70.6683377,2453.6634058,33.4996287,2557.8313721
1,4458,70.6683377,5411.5208206,16.1167582,5498.3059164
1,4471,70.6683377,3832.4038050,10.2972501,3913.3693927
1,4472,70.6683377,3801.1014494,20.9383398,3892.7081269
1,4476,70.6683377,3778.1237628,13.7002492,3862.4923497
1,4483,70.6683377,3779.8222747,9.3415223,3859.8321346
1,4492,70.6683377,2421.9636419,27.8216589,2520.4536385
1,4493,70.6683377,2406.4518157,24.0469193,2501.1670727
1,4501,70.6683377,5096.2067975,21.7574921,5188.6326273
1,4667,70.6683377,3674.1780088,6.2618293,3751.1081758
1,4670,70.6683377,3655.0854172,9.0998465,3734.8536014
1,4829,70.6683377,3517.1681576,30.0535327,3617.8900279
1,4868,70.6683377,5006.1501883,21.9634148,5098.7819407
1,4869,70.6683377,4944.8045380,24.9359754,5040.4088510
1,5018,70.6683377,5418.1899087,11.5690120,5500.4272584
1,5019,70.6683377,5441.4311042,9.5371741,5521.6366160
1,5247,70.6683377,3855.1810039,3.2964505,3929.1457921
1,5251,70.6683377,3900.4750972,11.2810127,3982.4244476
1,8180,70.6683377,4255.1713163,29.7691375,4355.6087914
1,10522,70.6683377,3858.5678697,11.7819494,3941.0181568
1,10523,70.6683377,3859.4704696,8.6750817,3938.8138889
1,10733,70.6683377,3903.3487215,6.9684325,3980.9854916
1,14588,70.6683377,4981.0897397,10.2968716,5062.0549490
1,15751,70.6683377,2572.5273262,14.7334890,2657.9291528
1,16240,70.6683377,3735.3878717,11.6205833,3817.6767927
1,16506,70.6683377,2740.7161510,15.0845831,2826.4690718
1,17946,70.6683377,4905.9162832,10.0291798,4986.6138006
1,19105,70.6683377,4925.3745344,10.3606001,5006.4034722
1,19479,70.6683377,4925.0584249,14.5539760,5010.2807386
1,20556,70.6683377,359.9879143,12.6608976,443.3171496
1,21130,70.6683377,1734.8829134,20.1070471,1825.6582982
1,21321,70.6683377,4649.0620776,15.3084133,4735.0388286
1,21675,70.6683377,4774.9937397,13.5002840,4859.1623614
1,21680,70.6683377,4825.0565806,12.9764976,4908.7014159
1,21681,70.6683377,4866.8602750,15.6996514,4953.2282641
1,21685,70.6683377,4880.1021080,18.4849250,4969.2553706
1,21742,70.6683377,4993.5002338,15.3649309,5079.5335024
1,21847,70.6683377,2584.5529334,16.7353183,2671.9565893
1,21851,70.6683377,2672.9193781,14.1010269,2757.6887426
1,24821,70.6683377,2073.5605597,66.0115080,2210.2404054
1,24885,70.6683377,3650.0979351,9.0323700,3729.7986428
1,25904,70.6683377,3721.9644272,27.7808169,3820.4135818
1,121950,70.6683377,6993.0790447,14.2986775,7078.0460599
1,328916,70.6683377,6867.0729023,31.7202976,6969.4615376
1,328921,70.6683377,6867.0729023,31.7202976,6969.4615376
1,330114,70.6683377,4757.3418412,36.1452058,4864.1553847
1,335760,70.6683377,5624.2646534,28.0706520,5723.0036431
1,336003,70.6683377,5173.4537906,29.2682291,5273.3903574
1,336147,70.6683377,6891.9687831,28.9468695,6991.5839903
1,337489,70.6683377,6957.4155179,13.6365112,7041.7203668
1,337777,70.6683377,3992.4324117,11.3696410,4074.4703904
1,338024,70.6683377,3992.4324117,11.3696410,4074.4703904
1,338025,70.6683377,3992.4324117,11.3696410,4074.4703904
1,338274,70.6683377,3992.4324117,11.3696410,4074.4703904
1,338275,70.6683377,8410.2035327,49.2547959,8530.1266662
1,338276,70.6683377,8410.2035327,49.2547959,8530.1266662
1,338277,70.6683377,8410.2035327,49.2547959,8530.1266662
1,338594,70.6683377,5511.0805671,14.2044323,5595.9533371
1,338595,70.6683377,5504.3944106,20.9705457,5596.0332940
1,581151,70.6683377,7936.5789529,55.2301278,8062.4774184
2,122,111.5155384,2825.1575018,28.8300073,2965.5030474
2,131,111.5155384,4358.4912162,21.0450234,4491.0517780
2,197,111.5155384,2471.9305373,23.2848980,2606.7309737
2,553,111.5155384,2353.4900544,22.7554062,2487.7609989
2,1053,111.5155384,2353.4900544,22.7554062,2487.7609989
2,1130,111.5155384,2672.8710811,12.3924068,2796.7790263
2,1216,111.5155384,4462.4359193,18.4365258,4592.3879834
2,1217,111.5155384,4476.9820792,26.0810538,4614.5786714
2,1351,111.5155384,4750.6835243,18.1080549,4880.3071175
2,1352,111.5155384,4608.6239794,17.6813345,4737.8208522
2,1353,111.5155384,4608.6239794,34.7792763,4754.9187940
2,1354,111.5155384,4627.4721775,18.6087155,4757.5964314
2,1358,111.5155384,4732.4408916,17.9175049,4861.8739348
2,1368,111.5155384,4664.7861727,7.0196064,4783.3213175
2,1441,111.5155384,4428.8814704,16.7396837,4557.1366924
2,1447,111.5155384,4395.0828061,11.4715893,4518.0699338
2,1453,111.5155384,4268.3082970,17.0448436,4396.8686790
2,1670,111.5155384,4381.4835550,12.4967344,4505.4958277
2,1693,111.5155384,4211.6509833,17.9468024,4341.1133241
2,1704,111.5155384,3998.7002381,11.1292588,4121.3450352
2,1722,111.5155384,3900.5885349,21.9763514,4034.0804247
2,1761,111.5155384,1521.3944186,25.5989176,1658.5088745
2,1819,111.5155384,2097.4391408,27.8823352,2236.8370144
2,1906,111.5155384,4782.2959985,30.6395909,4924.4511277
2,1991,111.5155384,1172.6587544,22.4822542,1306.6565469
2,2238,111.5155384,4356.6282210,33.8794841,4502.0232434
2,2240,111.5155384,4364.5111299,19.5673085,4495.5939767
2,2411,111.5155384,2386.6534424,16.9144318,2515.0834125
2,2434,111.5155384,4114.9523900,12.5820766,4239.0500050
2,2453,111.5155384,2618.1374324,28.1340395,2757.7870102
2,2559,111.5155384,4696.0370191,10.2027804,4817.7553378
2,2752,111.5155384,657.3720115,35.9616606,804.8492105
2,2778,111.5155384,2344.4499439,25.7490175,2481.7144997
2,2903,111.5155384,4558.7154399,15.2794631,4685.5104414
2,2913,111.5155384,4558.7154399,15.2794631,4685.5104414
2,2924,111.5155384,4613.4522615,18.0188528,4742.9866526
2,2929,111.5155384,3201.9977995,28.1100162,3341.6233540
2,3043,111.5155384,3201.9977995,28.1100162,3341.6233540
2,3063,111.5155384,3201.9977995,28.1100162,3341.6233540
2,3085,111.5155384,3386.1742039,27.9975228,3525.6872650
2,3086,111.5155384,3316.6015696,25.6066521,3453.7237601
2,3089,111.5155384,3287.1156080,15.6475700,3414.2787163
2,3140,111.5155384,374.9597158,21.9431888,508.4184430
2,3222,111.5155384,374.9597158,21.9431888,508.4184430
2,3249,111.5155384,3253.1767902,19.3936500,3384.0859785
2,3279,111.5155384,3028.9274942,16.7945956,3157.2376282
2,3285,111.5155384,2981.9935844,13.3390208,3106.8481435
2,3434,111.5155384,2996.6184081,8.3844132,3116.5183597
2,3435,111.5155384,2941.7112495,19.9654945,3073.1922824
2,3459,111.5155384,4333.6490405,11.9246429,4457.0892218
2,3473,111.5155384,2925.9220865,8.3407170,3045.7783419
2,3474,111.5155384,2923.9482958,15.1626089,3050.6264431
2,3476,111.5155384,2914.8381114,12.9528944,3039.3065441
2,3509,111.5155384,2504.8026320,19.5661369,2635.8843073
2,3540,111.5155384,3900.2067162,20.2321078,4031.9543623
2,3560,111.5155384,3897.6645902,23.0381805,4032.2183091
2,3651,111.5155384,2553.5957642,10.3729250,2675.4842276
2,3706,111.5155384,2553.5957642,10.3729250,2675.4842276
2,3737,111.5155384,3608.2545642,18.1576243,3737.9277269
2,3811,111.5155384,2748.9463576,24.2069878,2884.6688838
2,3953,111.5155384,2793.7947403,34.1506901,2939.4609688
2,4073,111.5155384,1199.3932774,24.9309926,1335.8398084
2,4210,111.5155384,4193.2088153,10.3512388,4315.0755925
2,4214,111.5155384,4175.3721416,8.3587914,4295.2464713
2,4283,111.5155384,4547.7960319,10.6071292,4669.9186995
