KOR_PAR_NM,PARK_SN,x,y,ADM_DR_NM
,1,126.8470683989,37.5702000434,가양1동
엄지공원,2,126.8547352969,37.5658069005,가양2동
,3,126.8545052942,37.5636483864,가양2동
,4,126.8609789389,37.5623748417,가양3동
,5,126.857433693,37.5623113495,가양3동
활주로공원,6,126.8158017624,37.5543367657,공항동
개화공원,8,126.8125436256,37.5802803767,방화3동
메아리공원,9,126.8143787676,37.578610499,방화3동
내촌공원,10,126.8014076383,37.577570514,방화2동
,11,126.8189373585,37.5751101964,방화3동
개나리공원,12,126.8122605529,37.5731279994,방화1동
쌈지공원,13,126.8150885835,37.5712335977,방화1동
아름공원,14,126.8486934342,37.5686820651,가양1동
봉선화공원,15,126.8070341041,37.5665829037,방화2동
,16,126.8485543714,37.5632335582,등촌3동
새나라공원,17,126.8520374466,37.5615663791,등촌3동
새벗공원,18,126.8403002709,37.5607029385,등촌3동
푸르매공원,20,126.8475171256,37.5590513457,등촌3동
매화근린공원,21,126.8609475069,37.5574597996,등촌1동
등마루공원,22,126.8574126152,37.5560377376,등촌1동
다솔공원,23,126.8183607494,37.5545922039,공항동
백석공원,24,126.8634912544,37.5526215256,등촌1동
,25,126.8463765452,37.5519398618,화곡6동
백연공원,26,126.85193013,37.5506880358,화곡6동
개나리공원,27,126.8440997375,37.5483927407,우장산동
소나무공원,28,126.8478491471,37.5470741234,화곡본동
대원공원,29,126.8359264234,37.544893617,화곡3동
,30,126.84155185,37.5431244446,우장산동
노을공원,31,126.8439550099,37.5398642502,화곡본동
,32,126.8475873382,37.5380970066,화곡8동
,33,126.838498801,37.5379098035,화곡1동
,34,126.862603986,37.5371850009,등촌2동
은행공원,35,126.8405344248,37.5358153981,화곡1동
월정공원,36,126.8360027019,37.5351837955,화곡1동
무지개공원,37,126.8613071046,37.5339702783,화곡4동
필마공원,38,126.8388110334,37.5314991229,화곡1동
달빛공원,39,126.8629450817,37.5311981167,화곡4동
뜸부기공원,40,126.8569466428,37.5301389027,화곡2동
곰돌이공원,41,126.8450190925,37.5295670236,화곡1동
이수공원,42,126.8742543446,37.5482130349,염창동
느티공원,45,126.810313025,37.5793876986,방화3동
능말공원,46,126.8106073853,37.5779724059,방화3동
돌샘공원,47,126.8189335725,37.5760827304,방화3동
샛별공원,49,126.8094972308,37.5727123686,방화2동
,50,126.8065009835,37.5705153703,방화2동
민들레공원,51,126.8067471633,37.5672590762,방화2동
채송화공원,53,126.8460548567,37.5627623163,등촌3동
한마음공원,54,126.8431137027,37.5606650263,등촌3동
,56,126.8138334299,37.5566921511,공항동
,57,126.8628871063,37.5556025737,등촌1동
,58,126.8331792987,37.5522087228,발산1동
백합공원,59,126.8694574831,37.5511497105,염창동
,60,126.8487997508,37.5496745946,화곡6동
미리내공원,61,126.8347656255,37.5476870201,화곡3동
,62,126.8600574906,37.5464896094,등촌2동
,63,126.8347762948,37.5445752241,화곡3동
비둘기공원,64,126.8469812471,37.541369677,화곡본동
박장공원,65,126.8490956762,37.54073799,화곡본동
한글공원,66,126.8505116948,37.5385224911,화곡본동
초롱공원,67,126.8362379307,37.5380892492,화곡1동
능골공원,68,126.855319389,37.536743168,화곡4동
,69,126.8508660217,37.5357886464,화곡8동
종달새공원,70,126.8580448622,37.5353331659,화곡4동
더부리공원,71,126.8467661071,37.5348711335,화곡8동
,72,126.8560954064,37.533250189,화곡2동
다운공원,73,126.8446716145,37.5320810564,화곡1동
,74,126.859359414,37.5312099377,화곡4동
버들공원,75,126.841245786,37.5311089778,화곡1동
,76,126.8536492434,37.5300062886,화곡2동
,77,126.8406924836,37.5295250694,화곡1동
천사공원,78,126.8330030452,37.5469038629,화곡3동
,79,126.8629619561,37.5594984542,가양3동
,80,126.8094301849,37.5697277305,방화2동
소공원,81,126.8514933879,37.5340463097,화곡2동
배다리공원,82,126.8483208737,37.5321109096,화곡8동
,84,126.8185953862,37.5629805119,방화1동
가양어린이공원,85,126.8448042815,37.5697972211,가양1동
연지공원,87,126.8532769453,37.5546971042,화곡6동
부석공원,88,126.7988785534,37.5828948053,방화2동
,91,126.8287265138,37.5539184663,발산1동
,95,126.8232895792,37.5521584925,발산1동
문화공원,96,126.8463158263,37.5662167069,가양1동
,97,126.8738628557,37.5517268523,염창동
송정공원,99,126.8112897433,37.5606684819,공항동
볏골공원,101,126.844388627,37.5414781179,화곡본동
,102,126.8377635887,37.5559709735,우장산동
,104,126.8387004014,37.5487233598,우장산동
,105,126.8212169444,37.57061046,방화1동
,108,126.8582550125,37.5494732197,등촌2동
,109,126.8400265382,37.5561487381,우장산동
,113,126.8386754683,37.5502009093,우장산동
,116,126.836956792,37.5461717783,우장산동
,117,126.8300880109,37.5442465148,화곡3동
,119,126.8405008446,37.5451745443,우장산동
,120,126.8441479918,37.5378770278,화곡본동
,121,126.824919802,37.5706604949,가양1동
,122,126.8220469756,37.5675490114,방화1동
소공원,124,126.8229494506,37.5709861545,가양1동
,127,126.8283160537,37.5502621163,발산1동
백합공원,131,126.8450054927,37.5592506021,등촌3동
,132,126.8344454989,37.5408406923,화곡3동
모태공원,133,126.8495293103,37.5294985735,화곡8동
,134,126.8546209918,37.5591626072,등촌1동
호돌이공원,135,126.8460440356,37.5282290487,화곡1동
나들이공원,137,126.8442578135,37.5718306333,가양1동
,138,126.852720866,37.5646820788,가양2동
