fid,x,y
"106",126.8211232871,37.5617663164
"376",126.8355312813,37.5394376253
"1792",126.8160061600,37.5668715423
"1848",126.8733192152,37.5473371155
"2510",126.8436488748,37.5534364250
"3209",126.8421263538,37.5304331392
"3517",126.8438204590,37.5473057540
"3625",126.8467645888,37.5440082679
"3626",126.8463690750,37.5440500561
"3627",126.8466785492,37.5437803643
"4436",126.8411604045,37.5383672414
"4555",126.8405581972,37.5692745243
"5604",126.8444981262,37.5407452066
"5646",126.8229294008,37.5469000170
"5903",126.8108756340,37.5779076485
"5943",126.8516820272,37.5457362395
"6182",126.8442859957,37.5564791102
"6251",126.8133848779,37.5592443368
"6478",126.8562261260,37.5331887999
"6610",126.8128449721,37.5595726802
"6625",126.8153084499,37.5798402368
"7245",126.8545516038,37.5367007580
"7701",126.8506270393,37.5600212775
"7706",126.8507281701,37.5602107017
"7998",126.8537514032,37.5301102353
"8181",126.8113501235,37.5845427100
"8206",126.8492930853,37.5473362540
"8403",126.8608164444,37.5340391936
"8648",126.8132481805,37.5580228350
"8724",126.8599071144,37.5466398777
"9674",126.8114335126,37.5754884814
"10162",126.8434451366,37.5389814664
"10870",126.8492334989,37.5448642594
"11349",126.8146750876,37.5637245662
"11509",126.8534719923,37.5642514138
"11686",126.8195444355,37.5748453552
"11714",126.8156880241,37.5568839780
"11808",126.8198836216,37.5725117527
"11881",126.8410986812,37.5354680252
"12051",126.8181818363,37.5548137263
"12192",126.8741175678,37.5513293944
"12523",126.8370849570,37.5749343131
"12830",126.8527068276,37.5646602921
"13232",126.8406318424,37.5294952821
"13233",126.8407494015,37.5296430763
"13513",126.8400289841,37.5723429134
"13778",126.8225677171,37.5722898665
"14167",126.8758617224,37.5515189297
"14226",126.8475283572,37.5380026142
"14544",126.8463311787,37.5378984791
"14713",126.8278200053,37.5510890821
"15045",126.8281682684,37.5509623630
"15312",126.8138199495,37.5568495114
"15958",126.8138922487,37.5697775698
"16184",126.8485099414,37.5411487317
"16187",126.8480998543,37.5410073428
"16191",126.8514078753,37.5415228574
"16503",126.8345830010,37.5488449302
"16585",126.8016002911,37.5774662450
"16682",126.8486944104,37.5693092515
"17056",126.8517044549,37.5674153186
"17117",126.8595598276,37.5313327306
"17339",126.8594224285,37.5311057492
"17589",126.8502666753,37.5369514588
"17655",126.8332053179,37.5520430079
"17975",126.8507617308,37.5359989765
"18031",126.8334856211,37.5466919051
"18032",126.8341133285,37.5466951756
"18033",126.8337849782,37.5466955699
"18394",126.8413906148,37.5432334634
"18609",126.8099523815,37.5679170528
"19063",126.8477770981,37.5321097841
"19099",126.8413833758,37.5367609119
"19199",126.8347278904,37.5444687057
"19200",126.8347199277,37.5447004352
"19593",126.8420963056,37.5574125984
"19658",126.8070666775,37.5666711696
"20110",126.8514282574,37.5302165190
"21418",126.8428251942,37.5394525032
"21906",126.8004754181,37.5788239002
"22045",126.8385229436,37.5380266766
"22383",126.8462763773,37.5495786318
"22384",126.8461948661,37.5497071295
"22400",126.8547396145,37.5592338678
"22550",126.8593315599,37.5569887905
"22762",126.8397998205,37.5429665118
"23081",126.8526628116,37.5524146565
"23583",126.8489554099,37.5497675482
"23881",126.8511171748,37.5685363196
"23947",126.8491125493,37.5484308446
"23980",126.8513088729,37.5685598209
"24187",126.8464876711,37.5520338269
"24203",126.8475515472,37.5581231883
"24237",126.8343542483,37.5409568597
"24238",126.8343433316,37.5408392265
"24344",126.8624095557,37.5537765809
"24940",126.8006228073,37.5788995218
"24963",126.8252610238,37.5477875261
"95799",126.8276047409,37.5336877923
"140732",126.8335414844,37.5199131730
"175371",126.8637192045,37.5482740431
"235622",126.8555306911,37.5273028453
"328414",126.8358348332,37.5318748800
"328786",126.8259814266,37.5348814337
"328868",126.8722303946,37.5252262027
"329117",126.8259089135,37.5305270395
"329118",126.8262621132,37.5308602681
"329119",126.8259502234,37.5307920249
"329120",126.8261999006,37.5306035159
"329121",126.8255860476,37.5303890761
"329122",126.8257587432,37.5305151416
"329123",126.8253960147,37.5305670130
"329124",126.8263395283,37.5305961102
"329125",126.8267148975,37.5308858518
"329126",126.8264239995,37.5308844265
"329127",126.8261092085,37.5308255340
"329128",126.8266237647,37.5306478016
"329129",126.8264873730,37.5306288316
"329130",126.8257792016,37.5307708935
"329131",126.8260472536,37.5305726146
"329132",126.8267632409,37.5306941574
"329133",126.8268401362,37.5307904474
"335261",126.8371883555,37.5184605193
"335484",126.8604682752,37.5264474981
"335730",126.8413800373,37.5214414558
"335888",126.8642598445,37.5418668558
"336377",126.8270724729,37.5129556375
"337550",126.8450162728,37.5220771886
"338027",126.8685598789,37.5109837715
"338665",126.8731784008,37.5194024250
"338679",126.8739845644,37.5201610489
"346549",126.8584838513,37.5229317193
"346850",126.8322801082,37.5198613266
"347490",126.8485321014,37.5216359503
"347891",126.8385028088,37.5242765468
"348082",126.8586177085,37.5264290078
"348091",126.8335206813,37.5230736534
"348112",126.8281872835,37.5226582183
"348166",126.8428829749,37.5241233607
"348221",126.8621680415,37.5217907987
"348698",126.8619184622,37.5249155012
"349067",126.8548382603,37.5220020537
"349097",126.8543952293,37.5193009835
"349676",126.8307653176,37.5218265515
"350048",126.8505771231,37.5153925254
"350051",126.8503644097,37.5153404612
"350195",126.8287467836,37.5415657367
"353366",126.8380814380,37.5221212747
"353404",126.8313013621,37.5326642606
"353449",126.8314600136,37.5383331411
"353721",126.8736111505,37.5447307977
"353805",126.8401243468,37.5185971323
"353807",126.8402255933,37.5190740159
"354156",126.8683381780,37.5368785029
"354504",126.8302047611,37.5312634877
"355231",126.8724664999,37.5433047291
"356151",126.8364540134,37.5154671097
"356663",126.8347818902,37.5286098243
"356746",126.8586279520,37.5104424939
"357453",126.8653863100,37.5493445747
"358056",126.8599408469,37.5283082505
"358340",126.8657627917,37.5439534330
"358409",126.8701069308,37.5398021501
"358563",126.8449047374,37.5262923566
"359070",126.8431478881,37.5103606876
"359518",126.8649445256,37.5453329138
"359924",126.8644821123,37.5387244205
"360325",126.8637735521,37.5063324352
"360583",126.8473668809,37.5200327856
"360623",126.8507695119,37.5268549927
"360654",126.8565429363,37.5238227381
"360990",126.8797668069,37.5462019271
"361012",126.8663764583,37.5442401258
"385653",126.8838839248,37.5134828495
"388895",126.8794962468,37.5109455089
"579451",126.8266346714,37.5342612816
"586050",126.8692680206,37.5364645270
"587438",126.8278645925,37.5339952708
"600088",126.8458736067,37.5175789955
