fid,x,y
"324",126.8386977809,37.5725724937
"761",126.8350392353,37.5694218159
"762",126.8359124296,37.5696586048
"763",126.8346046936,37.5683596562
"764",126.8329480242,37.5672337383
"765",126.8298499358,37.5662121236
"766",126.8332192457,37.5658272026
"767",126.8329455590,37.5652933671
"768",126.8328428704,37.5722443819
"769",126.8354790430,37.5709070080
"770",126.8343705977,37.5704515907
"771",126.8349794293,37.5700259061
"779",126.8560012193,37.5578689802
"1088",126.8146211433,37.5810355970
"1969",126.8482910473,37.5569734970
"1970",126.8471933370,37.5568482973
"1971",126.8483493690,37.5566744178
"1972",126.8479528281,37.5563823564
"1973",126.8473367342,37.5570632578
"1974",126.8470240176,37.5571461579
"1975",126.8467325295,37.5571788140
"1976",126.8480203352,37.5563598972
"3248",126.8372710167,37.5455533677
"3606",126.8373878056,37.5576668465
"4234",126.8321467862,37.5731433656
"4382",126.8312471218,37.5732688416
"4413",126.8377214072,37.5548919760
"4498",126.8507500426,37.5536201173
"6730",126.8573385076,37.5399686966
"6731",126.8571891433,37.5399349617
"6893",126.8368848094,37.5562638156
"8641",126.8437738935,37.5401905852
"8642",126.8437881610,37.5400540468
"10943",126.8247875622,37.5464495240
"11816",126.8384120552,37.5722229764
"12882",126.8379957553,37.5356529933
"13794",126.8398785844,37.5728542530
"13795",126.8398132618,37.5730705958
"13796",126.8399417933,37.5729598483
"13797",126.8399748443,37.5728946991
"13798",126.8397719555,37.5729263818
"13992",126.8176587985,37.5691568292
"16241",126.8112954420,37.5653856859
"16242",126.8111447179,37.5654171798
"16243",126.8110837112,37.5653175205
"16244",126.8114272110,37.5652976126
"16245",126.8108990793,37.5655019601
"17150",126.8384684452,37.5318504340
"19942",126.8341693377,37.5490334252
"21438",126.8370775349,37.5439278502
"22812",126.8516251753,37.5572138291
"22820",126.8491891307,37.5579738394
"23386",126.8249152539,37.5476875044
"23469",126.8475635280,37.5513008243
"24226",126.8332461056,37.5421027324
"24861",126.8294284347,37.5652885966
"24939",126.8376387199,37.5375527952
"25292",126.8481056776,37.5339666544
"25422",126.8494596534,37.5578542603
"25423",126.8502838411,37.5576175747
"25424",126.8497818504,37.5577672322
"25511",126.8176993602,37.5630984700
"25781",126.8309746663,37.5610929470
"215392",126.8654680718,37.5463764892
"330380",126.8310266208,37.5325556364
"335493",126.8363235842,37.5190376246
"335615",126.8633400630,37.5165209288
"335766",126.8653434942,37.5294934525
"335795",126.8504986963,37.5130860724
"336551",126.8754986766,37.5307194065
"336966",126.8701039539,37.5207859415
"337286",126.8649025784,37.5227339756
"337652",126.8720146361,37.5239253288
"337789",126.8792334014,37.5307279199
"337790",126.8808660982,37.5307053850
"337791",126.8830242245,37.5304797334
"338907",126.8690875336,37.5428084216
"348491",126.8665791089,37.5055847744
"348987",126.8620305367,37.5243134037
"353685",126.8717272672,37.5448283878
"357236",126.8415853675,37.5112482588
"358162",126.8244253787,37.5384354880
"360673",126.8323984896,37.5341108965
"581369",126.8681140312,37.5182834821
"594281",126.8631102478,37.5446755395
"598869",126.8653291611,37.5376319723
