ARS-ID,정류소명,x,y
"15101",홍익병원목동관,126.8639640873,37.5307245731
"15111",목동사거리,126.8637595011,37.5332661002
"15112",영도중.강서고입구.기아양서대리점,126.8635380336,37.5361734104
"15113",목동시장.대일고교.배광교회,126.8637601339,37.5390095791
"15126",목동성원아파트,126.8630984034,37.5422675791
"15127",목3동주민센터.현대아이파크.실로암안과,126.8623019635,37.5448521050
"15128",등촌역6번출구.목동깨비시장,126.8638419921,37.5497135800
"15336",가로공원공영주차장.신영시장,126.8328195049,37.5364559337
"15340",하나은행신월동지점,126.8379161316,37.5306219754
"15341",가로공원공영주차장,126.8331268551,37.5366802273
"15345",신화중학교,126.8314903834,37.5395653695
"15352",신화중학교,126.8304849232,37.5394068899
"15371",신월동기점,126.8385897841,37.5295000401
"15377",신월동기점,126.8384549032,37.5298339031
"15501",강서보건소.9호선등촌역,126.8681261260,37.5491247701
"15503",목2동주민센터,126.8715250749,37.5464704813
"15574",목2동주민센터,126.8713543888,37.5467518782
"15576",양동중학교,126.8687643465,37.5475391052
"15577",수명산입구,126.8288724263,37.5434138114
"15579",거산아파트,126.8320254327,37.5402194737
"15594",롯데캐슬아파트.목3동시장,126.8670440935,37.5480952747
"15703",대일고등학교,126.8637964402,37.5394132873
"15992",강서양천교육지원청,126.8305162800,37.5412331159
"15995",거산아파트,126.8321183977,37.5402954897
"16001",염창역.서울도시가스,126.8758830873,37.5470744947
"16002",염창역.서울도시가스,126.8750130449,37.5468602043
"16003",등촌역.강서보건소,126.8686699253,37.5490242677
"16004",등촌역.강서보건소,126.8676078457,37.5494195429
"16005",등촌중학교.백석초등학교,126.8615416047,37.5526096674
"16006",등촌중학교.백석초등학교,126.8605239274,37.5528647439
"16007",강서구청사거리.서울디지털대학교,126.8558137200,37.5548128892
"16008",강서구청사거리.서울디지털대학교,126.8540847072,37.5552359372
"16009",KBS스포츠월드,126.8505022032,37.5566705932
"16010",KBS스포츠월드,126.8492421796,37.5569272986
"16011",한국가스기술공사,126.8455031631,37.5579123170
"16012",한국가스기술공사,126.8432178057,37.5579645783
"16013",발산역,126.8391667893,37.5585387890
"16014",송정역,126.8095940066,37.5613581193
"16015",송정역,126.8110771523,37.5613801995
"16016","공항중학교.마곡엠밸리9,10단지",126.8157967185,37.5607019046
"16017",발산역,126.8375898496,37.5584515219
"16018",마곡역,126.8276151584,37.5597184565
"16019",마곡역,126.8260564199,37.5596898034
"16020","공항중학교.마곡엠밸리9,10단지",126.8173324053,37.5607186649
"16021",마곡동로사거리,126.8345811138,37.5590079172
"16022",마곡동로사거리,126.8318079050,37.5591180535
"16023",강서세무서,126.8212789460,37.5601556934
"16024",강서세무서,126.8227016254,37.5601981197
"16100",화원중학교,126.8408714246,37.5378616667
"16102",서울식물원.식물문화센터,126.8350289130,37.5683519338
"16103",백석초등학교.한국임업진흥원,126.8615808126,37.5525932635
"16104",등촌중학교.한국임업진흥원,126.8601340264,37.5530390883
"16105",강서대학교.강서LG베스트샵,126.8558537649,37.5547986803
"16106",하이웨이주유소.강서대학교,126.8559523416,37.5545749338
"16107",서울식물원.숲문화학교,126.8342313688,37.5663166583
"16108",LG사이언스파크,126.8335086691,37.5618826945
"16109",등촌주공5단지아파트,126.8438905776,37.5580713999
"16111",발산역4번출구,126.8392642897,37.5585281183
"16112",발산역5번출구,126.8395015760,37.5583254762
"16115",공항중학교,126.8147057198,37.5610074386
"16116",송정역,126.8103377755,37.5612805160
"16117",송정역,126.8090027511,37.5615936443
"16118",공항시장,126.8088619145,37.5623131990
"16119",공항시장,126.8091212464,37.5625721319
"16120",공항시장역3번출구,126.8108737845,37.5638624859
"16121",공항시장역.공항성산교회,126.8114501810,37.5647148358
"16122",방화주유소,126.8125318724,37.5661930106
"16123",방화2동청성아파트앞,126.8117143069,37.5669782488
