fid,x,y
"29",126.8613781611,37.5468902512
"34",126.8491295070,37.5463517375
"321",126.8506735964,37.5392047655
"574",126.8360761129,37.5618617818
"1238",126.8500569768,37.5482132505
"1240",126.8501661996,37.5482941989
"1251",126.8509060697,37.5489644234
"1262",126.8519043563,37.5504732329
"1308",126.8533522362,37.5530801099
"2347",126.8422029704,37.5544621469
"2716",126.8593552309,37.5321668526
"2857",126.8510911293,37.5409501339
"3022",126.8476017331,37.5355354615
"3247",126.8375561018,37.5457325950
"3304",126.8711441931,37.5512690273
"3837",126.8514128326,37.5390064498
"4080",126.8760990149,37.5495958599
"5011",126.8580395656,37.5322144602
"5112",126.8583047186,37.5507961062
"5135",126.8141321001,37.5585297419
"5683",126.8557949885,37.5373130536
"5700",126.8603417646,37.5464332385
"5906",126.8151607301,37.5790433461
"6017",126.8599115810,37.5366859928
"6116",126.8564279683,37.5304464263
"6201",126.8612808640,37.5540347747
"6475",126.8563236756,37.5330973294
"6479",126.8556192702,37.5351179090
"6537",126.8329717925,37.5532850510
"7001",126.8103226853,37.5700450712
"7404",126.8100262901,37.5695085792
"7470",126.8458328164,37.5402662838
"7736",126.8609722092,37.5504697413
"7940",126.8576817565,37.5361297534
"8098",126.8611606498,37.5504452270
"8138",126.8137642302,37.5630909644
"8176",126.8118044738,37.5839581376
"8177",126.8120834109,37.5842763289
"8178",126.8117800736,37.5842577968
"8179",126.8118416450,37.5845554070
"8277",126.8132170986,37.5576619455
"8287",126.8095889751,37.5589049138
"8395",126.8580868030,37.5338193021
"8573",126.8476860303,37.5454599703
"8689",126.8573133533,37.5359063511
"8719",126.8611974511,37.5468077872
"8773",126.8553250116,37.5351780547
"8783",126.8592773646,37.5335337063
"8889",126.8694933670,37.5503942074
"8978",126.8503328819,37.5481931844
"9015",126.8514914780,37.5489209131
"9091",126.8600236794,37.5458850555
"9537",126.8596224488,37.5330238908
"9580",126.8464621510,37.5630852201
"9638",126.8700362718,37.5499072273
"9771",126.8146260322,37.5570413131
"9902",126.8602010377,37.5336534419
"9916",126.8615982423,37.5340074686
"10184",126.8628434379,37.5356654407
"10343",126.8089481580,37.5603633448
"10490",126.8508391456,37.5467426055
"11143",126.8081180944,37.5735302795
"11369",126.8158011089,37.5646256311
"12207",126.8371807494,37.5522644178
"12388",126.8160335580,37.5679663057
"12493",126.8078990755,37.5722679873
"12938",126.8442093409,37.5442239504
"12954",126.8471473122,37.5424481163
"13039",126.8181028121,37.5768720707
"13076",126.8129061964,37.5557589920
"13212",126.8755553658,37.5515355229
"13482",126.8133908640,37.5705309892
"13501",126.8229442130,37.5705131863
"14089",126.8229834841,37.5523855383
"14128",126.8408900673,37.5699024244
"14189",126.8486516474,37.5422146891
"14508",126.8532463399,37.5409433188
"14691",126.8101073212,37.5648466361
"14705",126.8262840210,37.5494402762
"14888",126.8473684204,37.5382744030
"15046",126.8278583075,37.5513058117
"15073",126.8135281450,37.5740891655
"15076",126.8154483168,37.5690625368
"15166",126.8495141365,37.5434982675
"15363",126.8126839372,37.5745818117
"15498",126.8502330153,37.5418126490
"15504",126.8501573362,37.5396953242
"15587",126.8601379669,37.5330518064
"15700",126.8115578631,37.5561238447
"16238",126.8106722554,37.5652344637
"16734",126.8408768153,37.5363411343
"16764",126.8397087956,37.5320445018
"16818",126.8453948863,37.5406344965
"17104",126.8409480061,37.5357465147
"17148",126.8385428682,37.5321686487
"17464",126.8527100200,37.5660556597
"17670",126.8301226616,37.5524728278
"17830",126.8072045772,37.5676654701
"17886",126.8421089108,37.5342564500
"18337",126.8462769779,37.5350623941
"18355",126.8472337162,37.5341860728
"18539",126.8073379506,37.5644321340
"18594",126.8526324735,37.5336401367
"18813",126.8291969599,37.5537008469
"18879",126.8555184886,37.5304147514
"19434",126.8479585978,37.5321117946
"19446",126.8485148959,37.5323832427
"19566",126.8344082124,37.5433686851
"19926",126.8325565087,37.5481092388
"20228",126.8414154519,37.5333073988
"20251",126.8467037029,37.5359715312
"20499",126.8444204598,37.5287780488
"20618",126.8511000177,37.5322734885
"20738",126.8343429747,37.5502289062
"20771",126.8402544627,37.5620690858
"20866",126.8395428440,37.5312782534
"20906",126.8522056269,37.5312631849
"21001",126.8433547012,37.5351159257
"21036",126.8463054179,37.5394658996
"21069",126.8378837373,37.5435665195
"21241",126.8492279979,37.5309877887
"21706",126.8528092505,37.5305515473
"21731",126.8442261561,37.5318921238
"22219",126.8438390705,37.5646057176
"22396",126.8479542225,37.5597388331
"22397",126.8485181971,37.5614611055
"22783",126.8492775977,37.5499195389
"23488",126.8561174752,37.5515657185
"23547",126.8394676435,37.5386187416
"24049",126.8439696389,37.5464489593
"24150",126.8410313004,37.5444034556
"24268",126.8407299721,37.5401606557
"24340",126.8626016854,37.5539262802
"24390",126.8705761195,37.5493822244
"24525",126.8150243066,37.5669170393
"25340",126.8255150976,37.5539232287
"25633",126.8180305055,37.5692704334
"25647",126.8488205872,37.5428585465
"61488",126.8587921171,37.5287946803
"117361",126.8663839455,37.5356225764
"328367",126.8253648997,37.5346701966
"328383",126.8251066232,37.5337346593
"328843",126.8679351295,37.5253539241
"329097",126.8248742272,37.5316781316
"329100",126.8251439377,37.5313229649
"330223",126.8288649320,37.5344308352
"335260",126.8600044279,37.5266174163
"335426",126.8702922643,37.5432457884
"335453",126.8736303833,37.5209615341
"335775",126.8357704424,37.5297423432
"335793",126.8511550157,37.5125938242
"335981",126.8232137427,37.5349599957
"336222",126.8253630644,37.5356644447
"336258",126.8537466982,37.5120409692
"336615",126.8324950901,37.5180847382
"336700",126.8285892695,37.5427365622
"336842",126.8596841317,37.5212205052
"337093",126.8541058419,37.5245842877
"337191",126.8856622189,37.5335504860
"337514",126.8592816016,37.5247571156
"337840",126.8546018332,37.5169906417
"337934",126.8700368904,37.5471575920
"338030",126.8689871838,37.5109824702
"338471",126.8507565321,37.5219758281
"338620",126.8621740829,37.5192663242
"338699",126.8583071081,37.5268877444
"338893",126.8658580041,37.5387367181
"346516",126.8483683012,37.5161277661
"346605",126.8310039316,37.5230009605
"347042",126.8501443427,37.5188128406
"347358",126.8329340032,37.5219981127
"347805",126.8565925966,37.5261640639
"347851",126.8340851529,37.5390908966
"348070",126.8571550671,37.5260357831
"348480",126.8569355991,37.5222650832
"349196",126.8323501379,37.5219661540
"349258",126.8633625070,37.5232193744
"349301",126.8387696766,37.5242456338
"349498",126.8401928413,37.5208633085
"349503",126.8412819047,37.5210604850
"349693",126.8362272228,37.5184947864
"349699",126.8339186738,37.5209286268
"349917",126.8484864645,37.5268814679
"349934",126.8301864504,37.5224391895
"351937",126.8427116502,37.5151263374
"353447",126.8314314362,37.5384884104
"353656",126.8698152902,37.5416775891
"354154",126.8680944988,37.5368380137
"354221",126.8670346044,37.5386679458
"354257",126.8634723745,37.5471989007
"354273",126.8655657338,37.5316187105
"354438",126.8328143761,37.5357355876
"354656",126.8636568278,37.5453074595
"354914",126.8547438245,37.5217815032
"355268",126.8702135732,37.5463772573
"356016",126.8368130289,37.5270087754
"356114",126.8341278901,37.5289730803
"356255",126.8660419287,37.5375989873
"356448",126.8333717821,37.5135707486
"356687",126.8398500731,37.5125072885
"356725",126.8565584610,37.5171590430
"357116",126.8278079939,37.5401109754
"357256",126.8568606368,37.5176829359
"357539",126.8570825336,37.5263865197
"357656",126.8247947789,37.5386025616
"357755",126.8400718584,37.5207363223
"357807",126.8716014821,37.5329411320
"357842",126.8687354664,37.5363831640
"358252",126.8340220635,37.5277482556
"358289",126.8714615932,37.5155665823
"358304",126.8604814703,37.5252025912
"358405",126.8704708661,37.5394269837
"358518",126.8746206496,37.5220043010
"358677",126.8258768310,37.5339228280
"358998",126.8674588991,37.5347684201
"359265",126.8356554627,37.5277549345
"359318",126.8624062462,37.5230804533
"359400",126.8820742501,37.5451047004
"359699",126.8358525398,37.5309025081
"359811",126.8371960191,37.5239187623
"359814",126.8374489766,37.5235641967
"360111",126.8591501024,37.5274844883
"360337",126.8719896045,37.5184847823
"360351",126.8721535535,37.5231436843
"360579",126.8401107661,37.5168975819
"361061",126.8459542657,37.5219050016
"361335",126.8621818500,37.5240430531
"361391",126.8648198934,37.5357640331
"361480",126.8780958090,37.5455293585
"408435",126.8643865822,37.5407924155
"455102",126.8711044040,37.5449045282
"589083",126.8424377579,37.5138634910
"594162",126.8321457256,37.5282200876
"600276",126.8648035793,37.5443806975
