fid,x,y
"261",126.8194943989,37.5809048240
"1682",126.8096411009,37.5734019524
"2783",126.8371623217,37.5543851289
"3675",126.8457708208,37.5445171484
"9965",126.8578079904,37.5584360327
"11576",126.8390889139,37.5347568043
"12543",126.8702012052,37.5565060302
"12547",126.8708393217,37.5572163140
"16138",126.8732306157,37.5510024168
"16480",126.8371375736,37.5443399149
"16683",126.8492326170,37.5690461030
"19302",126.8085536861,37.5652185567
"20365",126.8410969281,37.5588030528
"21683",126.8388353956,37.5328236561
"23498",126.8505839710,37.5596698743
"23927",126.8419418824,37.5441971984
"24328",126.8460640332,37.5585720468
"24461",126.7960183672,37.5467463350
"24462",126.7970331127,37.5442048679
"24463",126.7806616983,37.5554209150
"24464",126.7957786925,37.5467197281
"336421",126.8528635140,37.5242957102
"336422",126.8527019953,37.5242138138
"337338",126.8640259255,37.5493360423
"337621",126.8544088735,37.5157857621
"338670",126.8724089907,37.5202675958
"357730",126.8326137968,37.5261724114
"357731",126.8322572278,37.5264877163
"357732",126.8326529646,37.5264888191
"360861",126.8616384376,37.5282058157
