fid,x,y
"122",126.8755494950,37.5497887397
"131",126.8634682659,37.5312877051
"197",126.8362275194,37.5532304338
"553",126.8365536732,37.5546704521
"1053",126.8176057777,37.5833583046
"1130",126.8469518079,37.5452448196
"1216",126.8076918622,37.5729712559
"1217",126.8075593192,37.5730808187
"1351",126.8088207297,37.5625787216
"1352",126.8094998394,37.5621970964
"1353",126.8092903964,37.5622152592
"1354",126.8094808956,37.5624109115
"1358",126.8092372357,37.5624289100
"1368",126.8096021234,37.5626859847
"1441",126.8121224137,37.5652996880
"1447",126.8125738541,37.5657818340
"1453",126.8127533540,37.5664360172
"1670",126.8088022769,37.5732901098
"1693",126.8105749202,37.5730897968
"1704",126.8132757357,37.5736422665
"1722",126.8139981576,37.5732367017
"1761",126.8559187012,37.5549542306
"1819",126.8624700153,37.5524228870
"1906",126.8608754795,37.5297526436
"1991",126.8509047939,37.5568628759
"2238",126.8113379738,37.5609949768
"2240",126.8115726335,37.5609741154
"2411",126.8632507085,37.5489880147
"2434",126.8460591752,37.5335037199
"2453",126.8358572719,37.5521827263
"2559",126.8580288757,37.5318537002
"2752",126.8552176500,37.5603548804
"2778",126.8371495492,37.5540280178
"2903",126.8602459975,37.5321336100
"2913",126.8612996884,37.5318801617
"2924",126.8376831160,37.5314559374
"2929",126.8396540701,37.5428753060
"3043",126.8388172166,37.5299550181
"3063",126.8623246975,37.5324287770
"3085",126.8383057194,37.5433515041
"3086",126.8388809760,37.5435916301
"3089",126.8385701808,37.5439439888
"3140",126.8516997948,37.5625850537
"3222",126.8634447956,37.5321919476
"3249",126.8366025734,37.5452386870
"3279",126.8428917749,37.5420810947
"3285",126.8435624863,37.5421909317
"3434",126.8360096420,37.5475711504
"3435",126.8360362019,37.5477927841
"3459",126.8114862054,37.5689222250
"3473",126.8444129539,37.5430505131
"3474",126.8443785505,37.5431083388
"3476",126.8446665191,37.5429729433
"3509",126.8728938653,37.5505597452
"3540",126.8366980631,37.5373562476
"3560",126.8631794638,37.5353838497
"3651",126.8732447723,37.5503906249
"3706",126.8477704902,37.5304994362
"3737",126.8361100392,37.5407386446
"3811",126.8748254989,37.5499233977
"3953",126.8748105942,37.5493118621
"4073",126.8607283876,37.5578028495
"4210",126.8116918823,37.5725923746
"4214",126.8113282622,37.5738169319
"4283",126.8529075891,37.5311900634
"4306",126.8421542260,37.5421792881
"4326",126.8497028974,37.5522837204
"4340",126.8474428280,37.5309937362
"4343",126.8472849088,37.5313341854
"4344",126.8473196079,37.5312497720
"4345",126.8466955420,37.5313576389
"4405",126.8649451854,37.5552856069
"4458",126.8542475743,37.5310807367
"4471",126.8423683936,37.5422496437
"4472",126.8424119833,37.5423835670
"4476",126.8426067983,37.5425353913
"4483",126.8436762038,37.5426676647
"4492",126.8507421387,37.5526695412
"4493",126.8508062669,37.5528040150
"4501",126.8470380961,37.5316740180
"4667",126.8432486042,37.5433248793
"4670",126.8430720995,37.5437770793
"4829",126.8622398509,37.5460169633
"4868",126.8463980689,37.5327750088
"4869",126.8463292664,37.5329167833
"5018",126.8579333673,37.5325806815
"5019",126.8576293536,37.5327390856
"5247",126.8445240600,37.5421105581
"5251",126.8446954821,37.5418241792
"8180",126.8115637248,37.5842256400
"10522",126.8444326802,37.5421490559
"10523",126.8443738792,37.5420892498
"10733",126.8103472131,37.5631047770
"14588",126.8632709563,37.5332543655
"15751",126.8199130974,37.5722051814
"16240",126.8109509920,37.5650457976
"16506",126.8357622350,37.5511102017
"17946",126.8470658087,37.5341244141
"19105",126.8460202083,37.5337420346
"19479",126.8471500239,37.5338767320
"20556",126.8432477581,37.5703729467
"21130",126.8406689400,37.5591929186
"21321",126.8378186094,37.5345343572
"21675",126.8387431218,37.5336351593
"21680",126.8389839648,37.5332263749
"21681",126.8387006558,37.5330339673
"21685",126.8389302256,37.5326567371
"21742",126.8443168524,37.5329928449
"21847",126.8357274583,37.5525101498
"21851",126.8357088342,37.5517211751
"24821",126.8362668393,37.5572628666
"24885",126.8757498677,37.5497014736
"25904",126.8393221651,37.5423627205
"121950",126.8518725297,37.5230563197
"328916",126.8767925609,37.5246031289
"328921",126.8331315016,37.5120203439
"330114",126.8278413506,37.5372613510
"335760",126.8628217045,37.5292214287
"336003",126.8641200301,37.5319466690
"336147",126.8768465485,37.5249809435
"337489",126.8404865393,37.5176899441
"337777",126.8723584236,37.5467890514
"338024",126.8862049986,37.5364905841
"338025",126.8870541700,37.5359995171
"338274",126.8863828017,37.5358285399
"338275",126.8852714991,37.5367907610
"338276",126.8869909672,37.5364946408
"338277",126.8867439440,37.5369818075
"338594",126.8636405586,37.5284817437
"338595",126.8636542915,37.5288041602
"581151",126.8556853976,37.5128194097
