fid,x,y
"251",126.8399740243,37.5425297162
"429",126.8349215978,37.5578847879
"439",126.8379781776,37.5348879081
"660",126.8438170077,37.5668189906
"979",126.8488321613,37.5321728733
"1423",126.8114092840,37.5643202308
"1425",126.8115691560,37.5645201711
"1436",126.8117842108,37.5649016121
"1518",126.8123661845,37.5703260267
"1519",126.8124752606,37.5703492162
"1520",126.8123973158,37.5702951512
"1526",126.8126526861,37.5705861944
"1695",126.8110792104,37.5734300925
"1836",126.8682802060,37.5496483941
"2176",126.8386094841,37.5431102981
"2260",126.8127974495,37.5614627956
"2398",126.8573810698,37.5317968936
"2558",126.8578466336,37.5315273616
"2920",126.8380998057,37.5307229316
"2961",126.8115755178,37.5674750833
"3182",126.8362682706,37.5372783094
"3224",126.8634040988,37.5328524546
"3225",126.8633328975,37.5330967538
"3242",126.8378034438,37.5446393225
"3403",126.8633056845,37.5339696636
"3441",126.8357129864,37.5490246091
"3442",126.8359548526,37.5491854150
"3510",126.8726238468,37.5502195761
"3704",126.8468286748,37.5304607141
"3740",126.8365760436,37.5403078271
"3890",126.8369762251,37.5403995439
"3959",126.8759312986,37.5496120359
"4011",126.8396710380,37.5411515194
"4148",126.8515759009,37.5310323150
"4677",126.8436204426,37.5437035428
"6147",126.8627442627,37.5335460336
"6159",126.8626330924,37.5341155059
"8023",126.8581953583,37.5326188082
"10519",126.8440097038,37.5420717428
"10520",126.8439977844,37.5419697967
"11163",126.8092614991,37.5741538471
"15922",126.8586160989,37.5326296864
"17161",126.8377763007,37.5316115843
"17549",126.8481250219,37.5330780876
"19117",126.8463867848,37.5338953546
"19846",126.8479606232,37.5341870720
"20497",126.8441727819,37.5289236264
"22599",126.8421575240,37.5432720545
"22963",126.8615348825,37.5559868401
"24557",126.8469480851,37.5427930937
"24691",126.8632979186,37.5334847262
"25100",126.8466906075,37.5324910039
"25241",126.8121725134,37.5615095916
"25766",126.8721121149,37.5482415575
"25806",126.8238347175,37.5672925515
"25903",126.8371986412,37.5445728698
"49111",126.8668277899,37.5400624537
"328857",126.8692807299,37.5251307888
"328915",126.8762720681,37.5241577084
"330007",126.8259591126,37.5388344121
"330209",126.8282191290,37.5354033680
"335476",126.8568264211,37.5211715757
"335479",126.8571648555,37.5218575304
"335955",126.8511434160,37.5243044045
"336111",126.8716686522,37.5463323925
"337105",126.8409603710,37.5145459970
"337122",126.8333371222,37.5363462794
"337320",126.8652583983,37.5505437905
"337542",126.8444365121,37.5223639636
"337740",126.8420043761,37.5184870568
"337762",126.8451722033,37.5225803957
"337844",126.8544402160,37.5173342266
"338068",126.8532231773,37.5187148693
"338167",126.8708911676,37.5468826526
"338552",126.8523510449,37.5206724205
"338554",126.8529814541,37.5206980980
"338687",126.8533864433,37.5209672036
"338688",126.8537200365,37.5214576325
"338831",126.8510564729,37.5231490698
"348524",126.8587721968,37.5196399046
"348525",126.8589020336,37.5196989384
"348538",126.8541507218,37.5192358607
"353892",126.8305792642,37.5336745159
"356156",126.8652206618,37.5089497161
"357694",126.8276562036,37.5342387105
"358457",126.8644945954,37.5503371445
"358823",126.8650655140,37.5393636086
"359202",126.8280089676,37.5351114187
"360123",126.8632892492,37.5275566245
"360370",126.8633025332,37.5276659374
"595346",126.8669731489,37.5400881612
