fid,x,y
"65",126.8590694671,37.5555309833
"93",126.8377006815,37.5448063105
"137",126.8089064772,37.5581053739
"229",126.8492189568,37.5498045781
"240",126.8387336493,37.5426439860
"246",126.8545353336,37.5557399206
"302",126.8515265811,37.5312912122
"303",126.8515764015,37.5311674807
"367",126.8701049338,37.5521376366
"372",126.8088389113,37.5609259464
"381",126.8372958090,37.5440806144
"395",126.8466905941,37.5336928830
"454",126.8421779748,37.5418293882
"470",126.8060473135,37.5662952562
"484",126.8423764794,37.5326508522
"515",126.8126311065,37.5690161604
"555",126.8374143951,37.5737320891
"626",126.8251318788,37.5468689464
"756",126.8204366040,37.5574691275
"805",126.8559145119,37.5297765506
"814",126.8457249267,37.5328367494
"847",126.8621843760,37.5468191586
"885",126.8212754308,37.5474728066
"992",126.8232757053,37.5678042066
"1035",126.8409489390,37.5305349530
"1090",126.8400915699,37.5727997649
"1110",126.8102511930,37.5591934842
"1111",126.8104920273,37.5593134838
"1112",126.8101293541,37.5594313311
"1114",126.8103758549,37.5595385663
"1117",126.8101967784,37.5602975991
"1119",126.8096709600,37.5604720010
"1120",126.8097358649,37.5605176904
"1125",126.8099520056,37.5608166158
"1127",126.8096543991,37.5610901505
"1128",126.8095369221,37.5610426304
"1129",126.8231468827,37.5497728174
"1131",126.8473266413,37.5452409853
"1132",126.8470415540,37.5453793138
"1136",126.8476324283,37.5456482469
"1165",126.8481636566,37.5467856585
"1167",126.8482623328,37.5469089946
"1172",126.8488431362,37.5471614193
"1173",126.8485809341,37.5474583701
"1174",126.8489269871,37.5472447437
"1177",126.8265502408,37.5522965051
"1178",126.8266108568,37.5525036713
"1205",126.8066041322,37.5728029615
"1207",126.8068028065,37.5729715323
"1210",126.8070104915,37.5728532753
"1214",126.8073367131,37.5729195132
"1215",126.8076828399,37.5725012178
"1241",126.8500461922,37.5486001604
"1242",126.8502867966,37.5484492875
"1252",126.8508630914,37.5494828542
"1253",126.8511612643,37.5491675779
"1255",126.8512738749,37.5496362752
"1257",126.8516682475,37.5494684351
"1258",126.8517087788,37.5497450719
"1261",126.8522094968,37.5500727006
"1263",126.8522653936,37.5504388682
"1268",126.8525203833,37.5509638959
"1273",126.8527560114,37.5514721951
"1274",126.8530278304,37.5513118577
"1278",126.8529962875,37.5516712741
"1279",126.8526245568,37.5518835936
"1281",126.8530051309,37.5517853323
"1283",126.8530272901,37.5519228283
"1293",126.8532827939,37.5522696093
"1322",126.8538242793,37.5540103128
"1325",126.8541118424,37.5544426343
"1347",126.8088103146,37.5621942477
"1349",126.8090419615,37.5622452798
"1350",126.8086912291,37.5625044780
"1355",126.8089344222,37.5626369983
"1356",126.8090429607,37.5627109923
"1357",126.8090797826,37.5626685432
"1367",126.8093483645,37.5628712228
"1386",126.8097969900,37.5628731196
"1393",126.8101295301,37.5631172965
"1395",126.8102707259,37.5631906387
"1404",126.8105775981,37.5639770487
"1421",126.8110315206,37.5643759258
"1422",126.8110835600,37.5644433417
"1426",126.8112323610,37.5647191677
"1433",126.8114806167,37.5650747576
"1438",126.8121381772,37.5649093144
"1439",126.8119700260,37.5650352100
"1440",126.8118690241,37.5650130249
"1442",126.8125775415,37.5653183907
"1443",126.8122632159,37.5655237680
"1449",126.8125276917,37.5659697258
"1450",126.8125935094,37.5659300030
"1452",126.8126877606,37.5662098682
"1464",126.8128403899,37.5666883856
"1466",126.8125178420,37.5668948395
"1478",126.8128695774,37.5674135887
"1479",126.8125543246,37.5678185903
"1480",126.8126236029,37.5678097025
"1481",126.8129214145,37.5677476937
"1483",126.8126572131,37.5679344443
"1489",126.8125534321,37.5681277916
"1491",126.8126319801,37.5683602375
"1502",126.8130389441,37.5688792226
"1503",126.8129754177,37.5689227823
"1506",126.8126694205,37.5693110617
"1508",126.8130156877,37.5692747183
"1510",126.8127212998,37.5697050162
"1511",126.8127270108,37.5696345681
"1513",126.8129082200,37.5699530341
"1514",126.8126119716,37.5699626962
"1524",126.8124011402,37.5704615220
"1528",126.8125699429,37.5706890778
"1529",126.8126705463,37.5707320853
