fid,x,y
"1",126.8456501629,37.5323760608
"11",126.8067869894,37.5664582726
"15",126.8487072722,37.5533768155
"16",126.8620968619,37.5315685626
"17",126.8593444881,37.5369011778
"18",126.8120334070,37.5588572196
"23",126.8389358336,37.5320441723
"24",126.8340536716,37.5408996068
"25",126.8112927700,37.5576652331
"27",126.8441383450,37.5572046963
"28",126.8479066993,37.5425289125
"32",126.8481761137,37.5486317386
"33",126.8415782977,37.5437264338
"35",126.8536343709,37.5542312817
"36",126.8474438549,37.5358787316
"37",126.8560069544,37.5337799690
"38",126.8546952806,37.5329445350
"39",126.8561010987,37.5557299303
"40",126.8411182005,37.5274309671
"41",126.8134801974,37.5587980944
"42",126.8203423048,37.5726376090
"43",126.8006518290,37.5802310746
"48",126.8154470534,37.5563940563
"50",126.8070731064,37.5668360613
"51",126.8408390930,37.5395314222
"52",126.8510889806,37.5386609377
"53",126.8510289533,37.5387643848
"54",126.8508835263,37.5386545344
"55",126.8507760569,37.5385574314
"58",126.8390400010,37.5305752725
"59",126.8522486786,37.5335885063
"60",126.8717798753,37.5504980019
"61",126.8478227477,37.5524071948
"63",126.8696795285,37.5360869817
"64",126.8323129503,37.5310497448
"65",126.8738522836,37.5192627089
"66",126.8455076024,37.5363507764
"67",126.8447523644,37.5287813220
"69",126.8066747465,37.5671293249
"71",126.8489977649,37.5522390136
"74",126.8659658390,37.5517412858
"75",126.8130787899,37.5555669194
"76",126.8657933438,37.5518113725
"77",126.8466577074,37.5343363560
"80",126.8112616084,37.5588058162
"82",126.8462053959,37.5315608335
"83",126.8416697386,37.5717097148
"84",126.8416079419,37.5714534521
"87",126.8606321071,37.5562686126
"88",126.8642583224,37.5533279820
"89",126.8483529255,37.5311347541
"90",126.8644152818,37.5532518832
"92",126.8427154562,37.5310851663
"94",126.8452488186,37.5328701505
"95",126.8393340121,37.5706074666
"96",126.7998936020,37.5806306463
"97",126.8485329416,37.5466159396
"98",126.8293794256,37.5521784244
"99",126.8339823225,37.5421239569
"100",126.8340021473,37.5419843713
"101",126.8506099837,37.5478566710
"102",126.8309916578,37.5509523234
"104",126.8156839798,37.5552521793
"105",126.8106427088,37.5605112652
"108",126.8582254856,37.5362622468
"109",126.8583182629,37.5361734458
"110",126.8412777663,37.5437735738
"111",126.8678677695,37.5497514686
"112",126.8400494625,37.5343537591
"113",126.8088103116,37.5640648452
"115",126.8450282002,37.5443101575
"116",126.8465007488,37.5372836080
"117",126.8602160493,37.5469633614
"118",126.8621769083,37.5307527243
"119",126.8624293990,37.5307670774
"120",126.8624272295,37.5308991233
"121",126.8392298211,37.5549971932
"123",126.8418007081,37.5296800802
"124",126.8484056088,37.5387416475
"127",126.8459250826,37.5385080907
"129",126.8145334696,37.5574878556
"132",126.8156809430,37.5690054850
"134",126.8415759359,37.5296158856
"135",126.8415635500,37.5297269711
"144",126.8383608496,37.5357223371
"145",126.8384354308,37.5356110616
"146",126.8157996999,37.5552658302
"147",126.8085568972,37.5650692786
"149",126.8369300323,37.5519597039
"150",126.8369445845,37.5520970596
"151",126.8418163729,37.5389287212
"152",126.8395365357,37.5364769116
"153",126.8142421799,37.5547958092
"155",126.8193122785,37.5639410520
"156",126.8198797830,37.5634788477
"157",126.8199048228,37.5629888256
"158",126.8198723165,37.5641783708
"159",126.8195531575,37.5645831486
"160",126.8191544049,37.5643663665
"161",126.8064605687,37.5662966207
"162",126.8512534890,37.5397129872
"163",126.8513449135,37.5395647817
"164",126.8199371639,37.5590012487
"165",126.8199578892,37.5599314602
"166",126.8193633000,37.5595886755
"167",126.8200343749,37.5594867465
"169",126.8192871142,37.5590672226
"170",126.8186335017,37.5591972540
"171",126.8188004726,37.5596523785
"172",126.8193685695,37.5599959933
"173",126.8205082141,37.5629576881
"174",126.8204583218,37.5635283776
"175",126.8192761557,37.5634555050
"176",126.8192373903,37.5629983068
"178",126.8398330946,37.5309297333
"180",126.8372804618,37.5395360985
"181",126.8460461869,37.5320822030
"182",126.8407020050,37.5366270627
"183",126.8373793652,37.5322702606
"185",126.8152341399,37.5574016819
"186",126.8153664004,37.5573996018
"187",126.8576064050,37.5497456786
"189",126.8570974004,37.5553909338
"190",126.8450702921,37.5420137234
"191",126.8416455090,37.5386582191
"192",126.8375037178,37.5380145333
"193",126.8376007009,37.5378601988
"196",126.8480213908,37.5413311480
"198",126.8563664918,37.5559529519
"199",126.8121911293,37.5713149727
"200",126.8446165639,37.5327630527
"201",126.8105701178,37.5703659597
"202",126.8107233569,37.5703760276
"203",126.8106404275,37.5702011200
"204",126.8249008876,37.5472667485
"205",126.8560830633,37.5371449323
"206",126.8347187937,37.5391744590
"207",126.8030101531,37.5873503086
"208",126.8338006767,37.5407225992
"209",126.8404302949,37.5294598034
"210",126.8441706770,37.5465817618
"211",126.8587205499,37.5456454760
"213",126.8572074367,37.5304414388
