fid,x,y
"73",126.8492276029,37.5284848588
"419",126.7993119124,37.5465050437
"542",126.8355120895,37.5528846749
"858",126.8432416057,37.5296324102
"859",126.8432444068,37.5295154913
"923",126.8459460154,37.5288679562
"984",126.8756933412,37.5484042923
"1180",126.8267716953,37.5529862061
"2795",126.8466115580,37.5319560682
"3591",126.8345681528,37.5492163341
"3592",126.8345843688,37.5490374611
"4679",126.8505350527,37.5538709695
"5252",126.8444102794,37.5411442162
"5253",126.8443227883,37.5418155725
"6505",126.8607297049,37.5322382106
"6506",126.8607309410,37.5322913067
"8058",126.8129230858,37.5599480812
"8404",126.8610435542,37.5343008917
"11264",126.8488399227,37.5385114773
"12948",126.8484475652,37.5443202742
"12991",126.8613161039,37.5497989327
"14531",126.8497723095,37.5397444449
"18292",126.8478602136,37.5315309850
"18773",126.8407630653,37.5443517115
"18935",126.7982112332,37.5778860863
"20867",126.8398737007,37.5314204171
"21080",126.8399223780,37.5438704650
"22298",126.8347273731,37.5417685695
"22601",126.8422579444,37.5434536259
"23877",126.8015703308,37.5621440911
"24547",126.8405226150,37.5372550358
"24578",126.8631284192,37.5370084510
"25030",126.8290062053,37.5604015788
"25148",126.8177875390,37.5667866598
"25245",126.8236057118,37.5626707549
"25566",126.8591919584,37.5324792788
"25596",126.8365209962,37.5591532222
"25875",126.8756093335,37.5484953768
"25890",126.8635500805,37.5549156501
"129550",126.8506694902,37.5211790589
"198206",126.8654996773,37.5459333264
"328677",126.8360231686,37.5295381328
"328913",126.8751431138,37.5237530831
"330305",126.8285981433,37.5327141356
"335247",126.8547548064,37.5210000255
"335286",126.8590137738,37.5250367232
"335350",126.8514217968,37.5237911665
"335759",126.8625825578,37.5291539475
"336267",126.8312375153,37.5406005448
"336599",126.8666210566,37.5484562056
"337327",126.8305962519,37.5362130506
"337496",126.8409256998,37.5181765618
"337497",126.8409410756,37.5178625273
"337787",126.8753477072,37.5466173931
"338266",126.8377907801,37.5256714999
"338508",126.8832482574,37.5443158896
"338555",126.8520240040,37.5207064200
"338900",126.8647489389,37.5388850300
"346597",126.8330224842,37.5240843362
"347102",126.8319008211,37.5200257368
"349334",126.8496407656,37.5161356642
"354536",126.8347460306,37.5221923505
"356005",126.8333906168,37.5307397276
"356006",126.8330127025,37.5304745774
"356534",126.8335268335,37.5305374793
"356690",126.8413116330,37.5116409979
"357849",126.8640786028,37.5360478770
"359353",126.8653949408,37.5404796796
"359894",126.8644211680,37.5404416496
"360866",126.8651200404,37.5420325253
"361358",126.8660412927,37.5407051553
"414587",126.8818284945,37.5126427351
"414588",126.8817349885,37.5128398941
"414589",126.8820379654,37.5127156088
"416720",126.8801610976,37.5110630467
"482528",126.8317286199,37.5315116400
"580675",126.8241499717,37.5350400520
"598693",126.8348471564,37.5201226463
