fid,KOR_SUB_NM,x,y
"208",신흥역,127.4488555756,36.3196592564
"209",대동역,127.4428210129,36.3295191296
"210",대전역,127.4334915536,36.3315370619
"211",중앙로역,127.4255623773,36.3285951954
"212",중구청(충남도청)역,127.4195250651,36.3247818466
"213",서대전네거리역,127.4125353785,36.3224458728
"214",오룡역,127.4049275177,36.3286499956
"215",현충원역,127.3213729259,36.3591562577
"216",구암역,127.3306839884,36.3566089905
"217","유성온천(충남대,목원대)역",127.3415810013,36.3536658307
"218",월드컵경기장(노은도매시장)역,127.3179010949,36.3667988048
"219",노은역,127.3178921833,36.3741338933
"220",지족(침신대)역,127.3194820592,36.3840854952
"221",반석(칠성대)역,127.3146366290,36.3920778956
"258",등촌역,126.8654599059,37.5507588829
"259",염창역,126.8747670033,37.5470014496
"261",방화역,126.8127878946,37.5775119385
"262",개화산역,126.8067514819,37.5725148777
"263",김포공항역,126.8016985791,37.5621589213
"264",송정역,126.8122692999,37.5611941624
"265",마곡역,126.8248353154,37.5601052688
"266",발산역,126.8379823724,37.5586194681
"267",우장산역,126.8363478573,37.5488288246
"268",화곡역,126.8404379503,37.5416094636
"269",까치산역,126.8465930617,37.5319954112
"273",용문역,127.3933718074,36.3382059454
"274",탄방역,127.3846140604,36.3455344585
"275",시청역,127.3867361433,36.3514887001
"276",정부청사역,127.3812481944,36.3574742501
"277",갑천역,127.3546473660,36.3546959289
"278",갈마역,127.3727641537,36.3575614446
"279",월평역,127.3645033199,36.3582697526
"286",가야대역,128.8649970277,35.2668010941
"287",장신대역,128.8672007092,35.2595653002
"322",연지역,128.8692980110,35.2496320976
"323",삼정역,128.8904036234,35.2271007323
"324",김해대역,128.9156074385,35.2289954794
"325",불암역,128.9278735218,35.2221680766
"326",봉황역,128.8743310513,35.2272315754
"327",수로왕릉역,128.8721381907,35.2327922365
"328",구봉역,128.8718549165,35.2400404565
"329",부원역,128.8838910320,35.2264649111
"330",인제대역,128.9017547968,35.2280978728
"331",남양산역,129.0193979322,35.3254652956
"332",부산대양산캠퍼스역,129.0138911585,35.3169000400
"333",호포지하철역,129.0173993927,35.2809411726
"334",양산역,129.0264759742,35.3387270948
"335",증산역,129.0102778868,35.3082459408
"336",가야대역,128.8649970277,35.2668010941
"337",장신대역,128.8672007092,35.2595653002
"340",지내역,128.9237181961,35.2275034038
"369",서문시장역,128.5822396610,35.8697741140
"370",신남역,128.5823872200,35.8642196332
"371",남산역,128.5833566402,35.8567172502
"372",명덕역,128.5911446335,35.8579441376
"373",반월당역,128.5934719676,35.8652398026
"374",중앙로역,128.5940078969,35.8709437953
"375",신남역,128.5824730148,35.8648815451
"376",경대병원역,128.6028032269,35.8632002014
"377",신천(경북대입구)역,128.6176502301,35.8746333621
"378",동대구역역,128.6275761999,35.8773867050
"379",큰고개역,128.6320839264,35.8842446161
"380",아양교역,128.6396550284,35.8871253961
"381",달성공원역,128.5821063622,35.8756524668
"382",동촌역,128.6504622845,35.8859605085
"383",해안역,128.6599180647,35.8835028537
"384",방촌역,128.6701206177,35.8796372918
"385",용계역,128.6816457976,35.8762437481
"386",율하역,128.6928101265,35.8698196147
"387",신기역,128.7019924895,35.8667323671
"388",반야월역,128.7136564291,35.8659888333
"389",각산역,128.7241653338,35.8680021172
"390",안심역,128.7335547324,35.8711638563
"391",건들바위역,128.5993856097,35.8554324545
"392",명덕역,128.5903132509,35.8569122240
"393",대봉교역,128.6062734635,35.8550324027
"394",대명역,128.5652925008,35.8393119641
"395",교대역,128.5906023451,35.8506195216
"396",영대병원역,128.5882383956,35.8442593480
"397",현충로역,128.5812490215,35.8408517255
"398",안지랑역,128.5739791425,35.8392387180
"399",성당못역,128.5575238883,35.8374781136
"400",대구역역,128.5972079154,35.8763398863
"401",칠성시장역,128.6050930777,35.8761441272
"402",수성시장역,128.6162082311,35.8543182249
"403",수성구민운동장역,128.6252593514,35.8525251990
"404",어린이회관역,128.6245761984,35.8449709590
"405",황금역,128.6240676541,35.8391561666
"406",수성못역,128.6233678191,35.8313209060
"407",지산역,128.6318616153,35.8251487855
"408",범물역,128.6401807182,35.8207879720
"409",용지역,128.6471966634,35.8183501225
"410",사월역,128.7156909365,35.8369964045
"411",대구은행역,128.6140760540,35.8597915262
"412",범어역,128.6265839965,35.8590953436
"413",수성구청(KBS)역,128.6357814944,35.8588569175
"414",만촌역,128.6453989436,35.8589311734
"415",담티(수성대 · 대륜)역,128.6539006972,35.8548871092
"416",대공원역,128.6799311259,35.8425344969
"417",고산역,128.6932944168,35.8429969283
"418",신매역,128.7049960832,35.8408684213
"419",월촌역,128.5455082537,35.8237492179
"420",송현역,128.5517662082,35.8310883576
"421",상인역,128.5379180122,35.8189685427
"422",월배역,128.5303282119,35.8161410418
"423",진천역,128.5231329491,35.8139022143
"424",연호역,128.6721759601,35.8463643228
"425",대곡(정부대구청사)역,128.5125046075,35.8094729620
"426",강창역,128.4783531156,35.8530930686
