fid,x,y
"531",126.8340965057,37.5410181360
"800",126.8242311287,37.5672440086
"1345",126.8082784095,37.5623696698
"1818",126.8623131770,37.5525040970
"2246",126.8118018013,37.5615560856
"2247",126.8119004680,37.5614986258
"2787",126.8368609544,37.5552611182
"3065",126.8625117212,37.5324351133
"3484",126.8452234952,37.5436647711
"3622",126.8453819892,37.5437835643
"3624",126.8456597118,37.5440064091
"3950",126.8600470193,37.5582461040
"3951",126.8602271138,37.5580000361
"3952",126.8598915108,37.5581671754
"4046",126.8412584352,37.5653265393
"4047",126.8409864486,37.5652187448
"4048",126.8409369576,37.5650586903
"4049",126.8410729028,37.5651154560
"4050",126.8408100842,37.5652944474
"4068",126.8597550114,37.5579553256
"4315",126.8504114920,37.5516095046
"4316",126.8505673700,37.5513891966
"4317",126.8503861959,37.5517781254
"4318",126.8496563212,37.5515581670
"4319",126.8504889583,37.5511980300
"4320",126.8499106980,37.5513500894
"4321",126.8503225924,37.5510219533
"4322",126.8506054025,37.5512878194
"4655",126.8618691576,37.5448086700
"4888",126.8360253727,37.5510685537
"5778",126.8631379594,37.5329111551
"9318",126.8142815731,37.5797935890
"9319",126.8146821152,37.5798053560
"9321",126.8149802752,37.5797930655
"10396",126.8674025800,37.5518937922
"14704",126.8260426092,37.5494063441
"17054",126.8513773296,37.5671120375
"17055",126.8515565815,37.5672330265
"18523",126.8032550750,37.5748164328
"18526",126.8031460263,37.5750001547
"21527",126.8455600986,37.5293516541
"22951",126.8482042807,37.5588356774
"23396",126.7962753020,37.5614284258
"23499",126.8501225598,37.5592491536
"23814",126.8426033524,37.5441696304
"24565",126.8207189670,37.5559362939
"330221",126.8287198817,37.5346727339
"335349",126.8508717010,37.5236137071
"335534",126.8479852975,37.5106104871
"335612",126.8645473576,37.5171119561
"335717",126.8343884176,37.5205419588
"335967",126.8330849035,37.5279256156
"336109",126.8682930279,37.5323749345
"336387",126.8619676854,37.5218937577
"336527",126.8784580537,37.5351559344
"336761",126.8723422612,37.5302359547
"336765",126.8710617492,37.5303611988
"336925",126.8623644192,37.5445274224
"336930",126.8550520919,37.5131197459
"336961",126.8705432811,37.5191646892
"336982",126.8762009147,37.5328462365
"336983",126.8756772000,37.5323706077
"337325",126.8345833182,37.5365620729
"337364",126.8549856680,37.5149191629
"338086",126.8655944060,37.5166762554
"338087",126.8658249418,37.5164246568
"338088",126.8658075066,37.5171705560
"338089",126.8656158689,37.5170873510
"338225",126.8265650608,37.5235163857
"338226",126.8258270846,37.5228213133
"338227",126.8259259809,37.5227860372
"338228",126.8264522857,37.5226838998
"338254",126.8572622019,37.5254310416
"338285",126.8835528090,37.5427782664
"338460",126.8470204156,37.5215143780
"338680",126.8509558544,37.5217756079
"338866",126.8846352609,37.5381110317
"348808",126.8607681523,37.5202997407
"353568",126.8635757321,37.5244524170
"354191",126.8689974580,37.5441707631
"359722",126.8306735095,37.5390738226
