fid,x,y
"148","126.7996506443","37.5647241645"
"479","126.8053934949","37.5571686975"
"520","126.8032245773","37.5634883900"
"588","126.8600331796","37.5528767246"
"625","126.8027571793","37.5736474123"
"784","126.8173586019","37.5764328985"
"812","126.8026622949","37.5739564086"
"928","126.8407558615","37.5585950519"
"1203","126.8060016892","37.5722700588"
"1328","126.8187468196","37.5527985295"
"1330","126.8218121490","37.5557263591"
"1331","126.8238621031","37.5545274657"
"1332","126.8226373167","37.5540953162"
"1333","126.8194714324","37.5513097324"
"1334","126.8212410845","37.5552835508"
"1335","126.8189363622","37.5508823666"
"1336","126.8228627921","37.5553769896"
"1337","126.8207494418","37.5532449811"
"1338","126.8235696006","37.5547704129"
"1339","126.8225271817","37.5562116656"
"1340","126.8231465456","37.5551292132"
"1374","126.8094599210","37.5629582139"
"1538","126.8104922659","37.5635554998"
"1861","126.8649500769","37.5511171819"
"1862","126.8750049849","37.5470592994"
"2000","126.8546172556","37.5554114342"
"2113","126.8583831051","37.5542357705"
"2267","126.8137335194","37.5614266275"
"2372","126.8008141685","37.5719818844"
"2373","126.8019263406","37.5716033929"
"2374","126.8002490212","37.5717074136"
"2375","126.8025992773","37.5712422140"
"2376","126.8008706453","37.5719238938"
"2377","126.8018768007","37.5717893550"
"2378","126.8033440554","37.5700059001"
"2379","126.8029604313","37.5713698467"
"2380","126.8022991889","37.5712239270"
"2381","126.8005088842","37.5716228904"
"2382","126.8012029640","37.5710693418"
"2383","126.8006116463","37.5719118783"
"2385","126.8034891897","37.5707462260"
"2556","126.8060329522","37.5666217811"
"2580","126.8637138065","37.5506117036"
"2605","126.8548190128","37.5584699612"
"2706","126.7980481850","37.5457314516"
"2707","126.7981204567","37.5466248017"
"2708","126.7978812073","37.5469031263"
"2709","126.7978312933","37.5454047729"
"2793","126.8426452837","37.5733994991"
"2801","126.8118545918","37.5767730366"
"2877","126.8165245512","37.5676834127"
"2885","126.7981425154","37.5462470119"
"2886","126.7989280288","37.5457382694"
"2887","126.8004686283","37.5449965731"
"2888","126.7999131133","37.5450360133"
"2889","126.7997237730","37.5447554058"
"2890","126.8005650985","37.5454851089"
"2893","126.8146109067","37.5454747026"
"2941","126.8378161738","37.5562703186"
"2976","126.8499601810","37.5642640905"
"3147","126.8532719624","37.5616002248"
"3767","126.8393081404","37.5601872199"
"3899","126.8383403373","37.5407569454"
"4074","126.8628103398","37.5576748773"
"4075","126.8618176571","37.5581948150"
"4211","126.8110813930","37.5736503774"
"4237","126.8634862642","37.5558966642"
"4254","126.8408178236","37.5687612113"
"4255","126.8543882385","37.5615542593"
"4411","126.8612468627","37.5577193932"
"4515","126.8359412437","37.5496000868"
"4536","126.8124380595","37.5774449950"
"4564","126.8422495189","37.5684601826"
"4715","126.8412548205","37.5716370355"
"4731","126.8417302589","37.5729124408"
"4732","126.8419339684","37.5730652502"
"4798","126.8019252331","37.5714506019"
"4799","126.8018967111","37.5719845647"
"4800","126.8019460359","37.5720649560"
"4801","126.8019576997","37.5721000963"
"4802","126.8023485865","37.5715181549"
"4803","126.8010259594","37.5724166002"
"4804","126.8005707865","37.5719801250"
"4805","126.8004172095","37.5718399788"
"4806","126.8003707671","37.5717928546"
"4807","126.8033913025","37.5710621010"
"4808","126.8030976779","37.5711886167"
"4809","126.8009234250","37.5718678290"
"4810","126.8004609866","37.5715487947"
"4811","126.8033140792","37.5709633326"
"4871","126.8461807995","37.5331436109"
"4893","126.8366986849","37.5514514809"
"4896","126.8420767023","37.5731713787"
"4897","126.8420772395","37.5730781109"
"5438","126.8457119351","37.5592797060"
"7838","126.8480268741","37.5489911539"
"7839","126.8484883557","37.5489051099"
"9293","126.8541479745","37.5295366749"
"10944","126.8243505158","37.5460467489"
"11251","126.8370794796","37.5343201533"
"11252","126.8372542103","37.5343887003"
"11253","126.8371111043","37.5344437357"
"11254","126.8372262912","37.5342603434"
"11851","126.8733342614","37.5516148542"
"12092","126.8085407297","37.5632370793"
"12093","126.8087750187","37.5633052703"
"12095","126.8090318752","37.5631878247"
"12412","126.8151580388","37.5774526210"
"12413","126.8150209938","37.5775641261"
"12414","126.8151335342","37.5775925614"
"12415","126.8150915816","37.5775073939"
"12438","126.8154401908","37.5561908661"
"12469","126.8083448301","37.5629433667"
"12470","126.8087337507","37.5630606733"
"13390","126.8177817244","37.5554032095"
"14016","126.8189932428","37.5781614197"
"14017","126.8185943281","37.5781518231"
"14018","126.8185940760","37.5780139871"
"14019","126.8185628870","37.5780854615"
"14337","126.8182509309","37.5561336059"
"14625","126.8130310473","37.5765050421"
"15664","126.8172618156","37.5563434462"
"15920","126.8589518284","37.5330707202"
