fid,x,y
"353",126.8327565469,37.5545077174
"458",126.8185197824,37.5704610533
"459",126.8176078960,37.5706015646
"526",126.8209848268,37.5581679058
"1181",126.8261253394,37.5524085936
"1182",126.8261973282,37.5525909276
"1186",126.8264457120,37.5534717024
"1188",126.8044781253,37.5741117726
"1189",126.8049420815,37.5737891283
"1190",126.8049351301,37.5736219243
"1191",126.8042817336,37.5739133873
"1192",126.8045645832,37.5737046460
"1193",126.8040069159,37.5734056307
"1194",126.8050086194,37.5739587691
"1195",126.8049952720,37.5733808997
"1196",126.8049416358,37.5734900046
"1197",126.8046464163,37.5739437193
"1265",126.8521034034,37.5509619838
"1770",126.8154238887,37.5628722785
"1771",126.8156331206,37.5624259943
"1801",126.8623765588,37.5533386601
"1802",126.8619043395,37.5537279785
"1803",126.8621876348,37.5535248089
"1804",126.8625645390,37.5531587591
"1805",126.8620906074,37.5534721212
"1806",126.8624460973,37.5532264564
"1807",126.8624258318,37.5536476909
"1808",126.8618228493,37.5536281100
"1809",126.8623699517,37.5532768715
"1810",126.8622856792,37.5537178557
"1811",126.8617698027,37.5528835295
"1812",126.8620269949,37.5537462081
"1813",126.8620167869,37.5538413248
"1814",126.8621292887,37.5537889020
"1815",126.8624569847,37.5534395582
"1816",126.8624570716,37.5531363412
"1833",126.8673548897,37.5499809427
"1943",126.8149668989,37.5621774722
"2146",126.8592148419,37.5524822510
"2147",126.8596431415,37.5528371447
"2165",126.8151301591,37.5533818703
"2166",126.8157469378,37.5542985439
"2167",126.8147782160,37.5539253340
"2168",126.8146111216,37.5538102786
"2169",126.8152435683,37.5531580996
"2170",126.8150864144,37.5539465745
"2386",126.8051019677,37.5688329120
"2387",126.8058146681,37.5689879334
"2484",126.8090303486,37.5761207246
"2546",126.8058697530,37.5680257114
"2547",126.8050810729,37.5690002507
"2548",126.8058340344,37.5690063068
"2549",126.8063266400,37.5692921342
"2550",126.8054831455,37.5679531813
"2607",126.8531523379,37.5602831318
"2608",126.8531334377,37.5599886399
"2609",126.8524999239,37.5594640853
"2610",126.8540296815,37.5596052948
"2611",126.8526180810,37.5597991215
"2612",126.8528427860,37.5601618196
"2613",126.8536957076,37.5593890798
"2655",126.8086174193,37.5759757562
