fid,x,y
"30",126.8434443704,37.5526661972
"31",126.8127154646,37.5778409824
"266",126.8093450859,37.5694856041
"440",126.8488647247,37.5685956785
"441",126.8516685797,37.5650648028
"445",126.8456036772,37.5506510003
"446",126.8446776018,37.5504890213
"447",126.8430750413,37.5532845068
"838",126.8079250542,37.5824027850
"839",126.8072204010,37.5776004618
"840",126.8560262866,37.5396018049
"841",126.8596395705,37.5403191747
"1149",126.8216937318,37.5735615322
"1845",126.8633292782,37.5526114570
"5944",126.8507987208,37.5446230277
"6477",126.8560517376,37.5333128093
"7670",126.8559768479,37.5096257862
"13868",126.8742569732,37.5421784631
"16580",126.8780223476,37.5440858239
"18081",126.8413919138,37.5636817290
"21131",126.8425655680,37.5597475035
"24392",126.8439357839,37.5369391353
"24425",126.8191064163,37.5717929842
"24628",126.8383657483,37.5726675775
"24652",126.8517931953,37.5388441262
"24653",126.8298928810,37.5509663972
"24654",126.8510719718,37.5421344759
"24662",126.8139975034,37.5821518084
"24663",126.8453295560,37.5460968836
"24693",126.8413316912,37.5742531278
"24697",126.8139434245,37.5568481677
"24698",126.8119748965,37.5558381110
"24699",126.8629428348,37.5595032963
"24708",126.8471332846,37.5700957907
"24709",126.8442124812,37.5718521696
"24715",126.8441901581,37.5433039157
"24728",126.8742344600,37.5482990109
"24732",126.8545998978,37.5635955974
"24873",126.8106287902,37.5431015961
"52691",126.8774241073,37.5440643029
"53226",126.8456022752,37.5135978166
"53227",126.8772794603,37.5424578937
"69920",126.8863098522,37.5457395256
"69921",126.8870064605,37.5437009010
"91489",126.8570482650,37.5105235982
"101106",126.8886316178,37.5120023399
"120016",126.8675856432,37.5177956629
"139886",126.8800471165,37.5141650936
"169307",126.8794491933,37.5271079365
"169308",126.8781868457,37.5246861468
"180555",126.8332361534,37.5143358123
"210641",126.8332925284,37.5175431602
"210660",126.8309034003,37.5225051064
"225576",126.8560555712,37.5140857247
"259098",126.8852790821,37.5379888732
"297723",126.8758521778,37.5130232687
"335711",126.8345672027,37.5204480892
"337269",126.8796258803,37.5463752246
"359399",126.8818422379,37.5453424193
"571675",126.8260080365,37.5185970145
"580199",126.8776902303,37.5183760161
"580203",126.8880025921,37.5332041913
"580204",126.8862042142,37.5389072818
"580205",126.8843402440,37.5427284473
"580610",126.8537754245,37.5187226309
"580789",126.8360571274,37.5202141514
"580791",126.8497039933,37.5225786933
"580804",126.8715722131,37.5453867396
"580805",126.8397633301,37.5069721337
"580851",126.8296844110,37.5213621902
